time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-05-28 08:12:49,51.9888196392814,4.38996698284711,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-3.81804638202,0.328084,0,0,0,26,5,0,0,0,0,0,0,0,0,149.9, 1.4, 0,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,"Flying over vegetation."
100,2026-05-28 08:12:49,51.9888196324669,4.38996698636067,0,,,-3.81804638202,0.328084,0,0.00260858932232,0.00260858932232,26,5,0,0,0,0,0.00260858932232,0,0,0,149.9, 1.4, 0,,,0,0,364,364,364,1684,-100,-100,-100,100,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
200,2026-05-28 08:12:49,51.9888196389876,4.38996699265438,0,,,-3.81804638202,0.328084,0,0.0022061024328,0.0053761812744,26,5,0,0,0,0,0.00260858932232,0,0,0,149.9, 1.4, 0,,,0,0,364,364,364,1684,-100,-100,-100,100,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
300,2026-05-28 08:12:49,51.9888196314198,4.38996699102585,0,,,-3.81804638202,0.328084,0,0.0034064305552,0.008161417584,26,5,0,0,0,0,0.0034064305552,0,0,0,149.9, 1.4, 0,,,0,0,364,364,364,1684,-100,-100,-100,100,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
400,2026-05-28 08:12:49,51.9888196378724,4.38996699863248,0,,,-3.81804638202,0.328084,0,0.0035837271488,0.0110705712204,26,5,0,0,0,0,0.0035837271488,0,0,0,149.9, 1.4, 0,,,0,0,364,364,364,1684,-100,-100,-100,100,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
500,2026-05-28 08:12:49,51.9888196311937,4.38996699348213,0,,,-3.81804638202,0.328084,0,0.003796916132,0.0137680778684,26,5,0,0,0,0,0.003796916132,0,0,0,149.9, 1.4, 0,,,0,0,364,364,364,1684,-100,-100,-100,100,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
600,2026-05-28 08:12:50,51.9888196381247,4.38996700194649,0,,,-3.81804638202,0.328084,0,0.0043119423952,0.0169321527728,26,5,0,0,0,0,0.0043119423952,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
700,2026-05-28 08:12:50,51.9888196319732,4.38996699524586,0,,,-3.81804638202,0.328084,0,0.0038561681024,0.019634679106,26,5,0,0,0,0,0.0043119423952,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
800,2026-05-28 08:12:50,51.9888196390249,4.38996700462536,0,,,-3.81804638202,0.328084,0,0.004894029028,0.0229604009972,26,5,0,0,0,0,0.004894029028,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
900,2026-05-28 08:12:50,51.9888196324232,4.38996699615969,0,,,-3.81804638202,0.328084,0,0.0038996720408,0.0260294955836,26,5,0,0,0,0,0.004894029028,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,"Setting new Return-To-Home altitude to 97m (318 ft). Data Recorder File Index is 36. Setting new Maximum Flight Altitude to 285m (935 ft)"
1000,2026-05-28 08:12:50,51.9888196395832,4.38996700538137,0,,,-3.81804638202,0.328084,0,0.0050642061988,0.0293637148504,26,5,0,0,0,0,0.0050642061988,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
1100,2026-05-28 08:12:50,51.9888196321025,4.38996715464591,0,,,-3.81804638202,0.328084,0,0.038688649532,0.063011484956,26,5,0,0,0,0,0.038688649532,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,0,98.96,-3.81804638202,0,41,Motors_Started,
1200,2026-05-28 08:12:50,51.9888196386527,4.38996717758969,0,,,-3.81804638202,0.328084,0,0.043755250744,0.068693243668,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,41,Motors_Started,
1300,2026-05-28 08:12:50,51.9888196298047,4.3899671436805,0,,,-3.81804638202,0.328084,0,0.036301182264,0.076967850232,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.9, 1.3, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,41,Motors_Started,
1400,2026-05-28 08:12:50,51.9888196359123,4.38996716434798,0,,,-3.81804638202,0.328084,0,0.040798229652,0.082118440948,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,41,Motors_Started,
1500,2026-05-28 08:12:50,51.9888196276886,4.38996713161475,0,,,-3.81804638202,0.328084,0,0.033691602128,0.090061354588,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.9, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,10,Assisted_Takeoff,
1600,2026-05-28 08:12:51,51.9888196341916,4.3899671491669,0,,,-3.81804638202,0.328084,0,0.03741469936,0.09466371694,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.8, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,10,Assisted_Takeoff,
1700,2026-05-28 08:12:51,51.9888196301506,4.38996712005157,0,,,-3.81804638202,0.328084,0,0.031006562672,0.101369425816,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.8, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,10,Assisted_Takeoff,
1800,2026-05-28 08:12:51,51.9888196372675,4.38996713554479,0,,,-3.81804638202,0.328084,0,0.03431594598,0.105712273724,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.8, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,10,Assisted_Takeoff,
1900,2026-05-28 08:12:51,51.9888196327432,4.38996695284926,0,,,-3.81804638202,0.328084,0,0.007149606528,0.146793311784,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.8, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,10,Assisted_Takeoff,
2000,2026-05-28 08:12:51,51.9888196405271,4.38996695277405,0,,,-3.81804638202,0.328084,0,0.0067720802692,0.149633206888,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.8, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,10,Assisted_Takeoff,
2100,2026-05-28 08:12:51,51.9888196339132,4.38996711436475,0,,,-3.81804638202,0.328084,0,0.0296142069844,0.186019690992,26,5,11.124,0,0,0,0.043755250744,0,0,0,149.8, 1.4, 0,,,0,0,1024,1024,1024,1024,0,0,0,0,148.6,0,0,53,3.71,3.708,3.705,0,0,0,3.213,98.96,-3.81804638202,0,10,Assisted_Takeoff,
