block,range_m,angle_deg
50,1.48681640625,-46.0
77,1.69921875,-38.0
79,1.69921875,-39.0
80,2.548828125,-40.0
86,0.849609375,-59.0
87,1.69921875,-67.0
88,1.69921875,-52.0
89,0.849609375,-49.0
90,1.69921875,-42.0
91,1.69921875,-39.0
92,2.0390625,-37.0
93,1.69921875,-35.0
94,2.548828125,-36.0
95,1.69921875,-34.0
96,2.548828125,-31.0
97,2.548828125,-32.0
98,2.548828125,-29.0
99,2.548828125,-30.0
100,2.9736328125,-28.0
101,2.548828125,-24.0
102,2.71875,-16.0
103,3.115234375,-16.0
104,3.3984375,-17.0
105,3.3984375,-15.0
106,3.73828125,-14.0
107,3.8839285714285716,-13.0
108,4.248046875,-13.0
109,4.248046875,-10.0
110,4.41796875,-10.0
111,4.248046875,-8.0
112,4.7578125,-7.0
113,5.09765625,-7.0
114,5.09765625,-6.0
115,5.380859375,-7.0
116,5.947265625,-7.0
117,5.09765625,-7.0
118,5.947265625,-6.0
119,5.583147321428571,-5.0
120,5.947265625,-4.0
121,5.947265625,-4.0
122,6.311383928571429,-3.0
123,6.796875,-3.0
124,6.58447265625,-3.0
125,7.00927734375,-3.0
126,7.13671875,-3.0
127,7.00927734375,-3.0
128,6.796875,-2.0
129,7.646484375,-2.0
130,7.36328125,-1.0
131,7.646484375,-1.0
132,8.010602678571429,-1.0
133,8.010602678571429,-1.0
134,8.49609375,-1.0
135,8.981584821428571,-1.0
136,8.49609375,0.0
137,8.49609375,0.0
138,8.49609375,0.0
139,9.345703125,1.0
140,8.8359375,0.0
141,9.345703125,0.0
142,9.345703125,0.0
143,9.709821428571429,0.0
144,10.1953125,0.0
145,10.1953125,0.0
146,10.1953125,0.0
147,10.478515625,-1.0
148,10.40771484375,-1.0
149,10.40771484375,0.0
150,10.1953125,-5.0
151,10.680803571428571,0.0
152,10.680803571428571,0.0
153,11.044921875,1.0
154,11.409040178571429,1.0
155,11.21484375,-4.0
157,11.89453125,0.0
158,11.4697265625,-3.0
159,11.611328125,0.0
160,11.89453125,0.0
161,11.89453125,-1.0
162,12.177734375,-1.0
163,11.89453125,-1.0
164,11.89453125,-1.0
165,12.177734375,-2.0
166,12.744140625,-1.0
167,12.9140625,0.0
168,12.9140625,0.0
169,13.38134765625,-2.0
170,13.25390625,0.0
171,13.404947916666666,1.0
172,13.59375,0.0
173,13.59375,1.0
174,13.59375,1.0
175,13.59375,1.0
176,14.079241071428571,1.0
177,14.079241071428571,1.0
178,14.443359375,1.0
179,14.2734375,1.0
180,14.443359375,1.0
181,15.08056640625,1.0
182,15.29296875,-2.0
183,15.08056640625,0.0
184,15.50537109375,1.0
185,15.29296875,2.0
186,15.29296875,1.0
187,15.29296875,1.0
189,15.50537109375,0.0
190,15.29296875,1.0
191,16.142578125,1.0
192,16.142578125,1.0
193,16.142578125,2.0
194,16.77978515625,2.0
195,16.142578125,2.0
196,16.9921875,31.0
197,16.77978515625,3.0
198,16.142578125,4.0
199,16.77978515625,4.0
200,16.9921875,5.0
201,16.9921875,4.0
202,16.9921875,5.0
203,16.9921875,5.0
204,16.9921875,6.0
205,16.9921875,6.0
206,16.9921875,4.0
207,16.9921875,6.0
208,16.9921875,6.0
209,17.55859375,6.0
210,17.477678571428573,6.0
211,17.20458984375,6.0
212,17.20458984375,7.0
213,17.477678571428573,7.0
214,17.841796875,6.0
215,17.841796875,7.0
216,25.48828125,25.0
220,16.9921875,7.0
221,17.671875,7.0
222,17.20458984375,7.0
223,17.477678571428573,33.0
224,17.841796875,32.0
225,17.841796875,32.0
227,17.275390625,8.0
228,17.841796875,34.0
229,17.841796875,8.0
230,17.841796875,9.0
231,17.841796875,33.0
232,17.841796875,10.0
233,17.841796875,10.0
234,17.841796875,11.0
235,17.841796875,11.0
236,17.477678571428573,12.0
237,17.841796875,34.0
239,17.841796875,11.0
240,18.69140625,12.0
242,17.841796875,12.0
243,17.841796875,12.0
244,17.841796875,12.0
245,17.841796875,13.0
246,17.841796875,12.0
247,17.841796875,14.0
248,17.841796875,13.0
249,17.841796875,14.0
251,18.01171875,16.0
253,17.841796875,17.0
254,17.841796875,16.0
255,17.841796875,18.0
256,17.671875,18.0
257,18.2666015625,18.0
258,17.841796875,20.0
259,18.69140625,20.0
261,18.408203125,20.0
262,18.125,22.0
263,18.205915178571427,22.0
264,18.47900390625,22.0
265,18.01171875,22.0
267,17.841796875,22.0
268,17.841796875,22.0
269,18.69140625,23.0
271,18.125,24.0
272,17.841796875,24.0
273,18.69140625,30.0
275,18.47900390625,23.0
276,18.69140625,25.0
277,18.125,26.0
278,18.69140625,23.0
279,18.69140625,23.0
281,18.69140625,25.0
283,19.541015625,25.0
286,18.69140625,26.0
287,18.69140625,29.0
290,18.69140625,27.0
291,18.69140625,27.0
292,18.01171875,26.0
294,18.408203125,26.0
295,18.69140625,21.0
296,18.205915178571427,21.0
297,18.47900390625,21.0
298,18.47900390625,24.0
299,18.69140625,24.0
300,18.47900390625,23.0
301,18.69140625,22.0
303,18.448660714285715,22.0
305,18.205915178571427,21.0
306,17.841796875,20.0
307,17.841796875,20.0
308,17.841796875,19.0
309,17.841796875,19.0
310,18.205915178571427,19.0
311,17.841796875,18.0
312,17.841796875,17.0
313,18.01171875,17.0
314,17.841796875,17.0
315,17.841796875,16.0
316,17.841796875,15.0
317,17.671875,16.0
318,17.841796875,15.0
319,17.841796875,15.0
320,16.9921875,14.0
321,17.841796875,14.0
322,17.841796875,13.0
323,17.841796875,12.0
324,17.841796875,12.0
325,17.841796875,11.0
327,17.841796875,11.0
328,16.9921875,11.0
332,17.841796875,10.0
333,17.841796875,10.0
334,17.671875,33.0
335,17.841796875,5.0
336,16.9921875,7.0
337,17.841796875,34.0
338,17.841796875,8.0
339,17.841796875,8.0
340,17.671875,9.0
341,17.841796875,5.0
344,17.841796875,5.0
345,17.841796875,4.0
346,17.841796875,4.0
347,17.671875,3.0
348,17.841796875,3.0
349,17.841796875,3.0
350,17.841796875,2.0
351,17.841796875,2.0
352,17.841796875,2.0
353,17.841796875,1.0
354,17.841796875,1.0
355,17.841796875,1.0
356,17.841796875,0.0
357,17.841796875,0.0
358,17.841796875,-1.0
359,17.841796875,-1.0
360,17.841796875,-2.0
361,18.3515625,-2.0
362,17.841796875,-3.0
363,17.963169642857142,-3.0
364,18.69140625,-4.0
365,18.205915178571427,-4.0
366,17.841796875,-5.0
367,17.841796875,-6.0
368,18.01171875,-6.0
369,18.205915178571427,30.0
370,18.01171875,-7.0
371,18.3515625,-8.0
372,17.841796875,-9.0
373,18.125,-9.0
374,18.01171875,30.0
375,18.47900390625,30.0
376,18.47900390625,-12.0
377,18.69140625,-12.0
378,18.47900390625,28.0
379,18.69140625,-13.0
380,17.841796875,29.0
381,18.205915178571427,29.0
382,18.69140625,28.0
383,18.47900390625,27.0
384,17.841796875,27.0
385,18.47900390625,28.0
386,18.69140625,29.0
387,18.69140625,29.0
388,18.3515625,30.0
389,18.69140625,30.0
390,19.03125,30.0
391,18.69140625,29.0
392,18.90380859375,28.0
393,18.69140625,26.0
394,18.69140625,-21.0
395,18.69140625,-21.0
396,18.69140625,28.0
397,18.69140625,-23.0
398,18.90380859375,-23.0
399,19.03125,-24.0
400,19.37109375,27.0
401,19.37109375,27.0
402,19.2578125,-25.0
403,19.541015625,-25.0
404,19.176897321428573,-26.0
405,19.541015625,-26.0
407,19.541015625,-27.0
408,18.69140625,-27.0
409,19.541015625,-27.0
411,19.541015625,30.0
412,19.541015625,-28.0
421,25.48828125,-30.0
425,21.240234375,-31.0
429,21.240234375,-33.0
432,22.08984375,-34.0
433,21.240234375,-34.0
434,21.5234375,-35.0
435,20.95703125,28.0
436,21.240234375,-36.0
437,21.240234375,-36.0
440,3.3984375,6.0
441,4.248046875,15.0
441,21.5234375,-37.0
442,21.41015625,24.0
443,21.240234375,26.0
448,22.08984375,24.0
449,21.240234375,23.0
454,21.240234375,-37.0
455,21.6650390625,28.0
456,21.240234375,28.0
458,21.240234375,-35.0
461,21.240234375,-34.0
462,24.638671875,-33.0
463,20.390625,-33.0
465,24.638671875,-32.0
466,21.5234375,-32.0
467,24.35546875,25.0
472,24.274553571428573,-30.0
474,20.390625,30.0
475,23.7890625,30.0
476,24.638671875,31.0
477,20.390625,31.0
478,23.7890625,30.0
479,22.08984375,30.0
481,19.7109375,-27.0
482,19.7109375,29.0
483,19.541015625,30.0
484,19.541015625,29.0
485,19.541015625,-26.0
486,19.541015625,30.0
487,19.541015625,29.0
488,23.7890625,30.0
490,19.82421875,30.0
491,19.541015625,-24.0
492,19.176897321428573,30.0
493,19.176897321428573,31.0
494,19.176897321428573,30.0
495,19.541015625,29.0
496,18.69140625,30.0
497,19.541015625,31.0
498,19.82421875,31.0
499,18.69140625,31.0
500,19.541015625,30.0
501,18.69140625,-19.0
502,18.408203125,-18.0
503,18.448660714285715,-17.0
504,18.69140625,31.0
505,18.448660714285715,31.0
506,18.205915178571427,31.0
507,18.69140625,31.0
508,18.69140625,-13.0
509,18.47900390625,-13.0
510,18.47900390625,-12.0
511,18.502604166666668,-12.0
512,18.47900390625,30.0
513,18.47900390625,-11.0
514,17.841796875,-10.0
515,18.47900390625,-9.0
516,18.2666015625,-9.0
517,17.841796875,-7.0
518,17.841796875,-6.0
519,17.841796875,-6.0
520,17.841796875,-5.0
521,18.205915178571427,-5.0
522,17.841796875,-5.0
523,17.841796875,-4.0
524,17.841796875,-3.0
525,18.69140625,-2.0
526,17.841796875,-1.0
527,17.841796875,-1.0
528,17.841796875,0.0
529,17.841796875,0.0
530,17.841796875,1.0
531,17.841796875,1.0
532,17.841796875,2.0
533,17.841796875,3.0
534,17.841796875,3.0
