block,range_m,radial_velocity_mps,angle_deg
2,1.69921875,0.43272000177242115,44.0
5,2.548828125,0.43272000177242115,44.0
20,2.548828125,-0.43272000177242115,60.0
21,2.1847098214285716,-0.18545142933103764,-29.0
69,1.69921875,0.0,69.0
90,5.09765625,-0.8654400035448423,1.0
99,2.37890625,-0.12981600053172637,67.0
100,1.69921875,-9.25185853854297e-18,-29.0
104,2.548828125,0.21636000088621057,-16.0
106,3.3984375,0.21636000088621057,-28.0
107,2.548828125,-0.43272000177242115,-28.0
150,1.2744140625,-0.2163600008862106,63.0
151,1.2744140625,-0.2163600008862106,70.0
152,0.849609375,-0.43272000177242115,-24.0
153,2.0390625,-0.4759920019496633,-4.0
154,0.0,0.6490800026586317,-4.0
154,1.69921875,-0.7031700028801844,-31.0
155,0.0,0.6490800026586317,-5.0
155,1.982421875,-0.6130200025109299,-5.0
156,2.265625,-0.36060000147701765,-32.0
157,1.2744140625,-0.2163600008862106,-31.0
158,1.2744140625,-0.2163600008862106,-29.0
159,1.2744140625,-0.2163600008862106,-24.0
160,1.2744140625,-0.2163600008862106,-25.0
161,1.69921875,-0.43272000177242115,-32.0
162,2.548828125,-0.43272000177242115,-5.0
165,0.56640625,-0.14424000059080705,-19.0
167,1.69921875,-0.43272000177242115,-32.0
169,1.69921875,0.6490800026586317,43.0
170,1.2744140625,0.21636000088621057,74.0
171,0.9440104166666666,0.26444000108314625,74.0
172,1.2744140625,0.21636000088621057,-75.0
173,1.2744140625,0.21636000088621057,69.0
174,1.48681640625,0.45976500188319747,60.0
175,0.0,-0.6490800026586317,-65.0
175,1.69921875,0.5409000022155265,74.0
176,0.0,-0.8654400035448423,-61.0
176,1.69921875,0.8654400035448422,64.0
177,0.0,-0.9736200039879475,-52.0
177,1.69921875,0.9736200039879476,55.0
178,0.0,-0.8654400035448423,-49.0
178,1.48681640625,0.8924850036556187,-48.0
179,0.0,-0.8654400035448423,-46.0
179,1.69921875,0.8654400035448423,-46.0
180,0.0,-0.8654400035448423,-44.0
180,1.69921875,0.9736200039879476,-43.0
181,1.69921875,0.8173600033479066,-40.0
182,0.0,-0.8654400035448423,-38.0
182,1.69921875,0.8654400035448422,-40.0
183,1.1328125,0.432720001772422,-40.0
183,1.69921875,0.8654400035448422,-40.0
184,0.849609375,-6.923520028358739,-36.0
184,1.69921875,1.019982861320707,-36.0
185,0.849609375,4.110840016838001,-36.0
185,1.69921875,1.3522500055388162,-36.0
186,0.56640625,-1.6227000066465795,-36.0
186,1.69921875,1.514520006203474,-34.0
187,0.6796875,-1.7308800070896848,-35.0
187,1.69921875,1.7308800070896848,-34.0
188,0.0,-1.6767900068681318,-34.0
188,1.91162109375,1.4874750060926978,-32.0
189,0.0,-1.514520006203474,-36.0
189,1.91162109375,1.4874750060926978,-34.0
190,0.0,-1.2981600053172635,-34.0
190,1.91162109375,1.2711150052064872,-32.0
191,0.0,-1.2981600053172635,-34.0
191,2.548828125,1.1539200047264564,-32.0
192,0.0,-1.2981600053172635,-32.0
192,1.69921875,1.2981600053172635,-30.0
193,0.0,-1.2981600053172635,-33.0
193,2.0390625,1.125072004608295,-30.0
194,1.9419642857142858,1.0818000044310527,-31.0
195,0.0,-1.6227000066465793,-32.0
195,2.548828125,1.4279760058489899,-29.0
196,0.0,-1.7308800070896846,-31.0
196,2.548828125,1.6010640065579582,-28.0
197,0.0,-1.5145200062034743,-31.0
197,2.548828125,1.5866400064988777,-27.0
198,0.0,-1.5145200062034743,-31.0
198,2.83203125,1.4183600058096026,-27.0
199,0.0,-1.5145200062034743,-30.0
199,2.548828125,1.3522500055388162,-25.0
200,3.3984375,-13.630680055831265,-25.0
200,3.3984375,1.2981600053172635,-25.0
201,3.05859375,1.384704005671748,-24.0
202,3.3984375,-12.981600053172636,-24.0
202,3.3984375,1.2440700050957108,-24.0
203,3.3984375,-0.32454000132931426,-23.0
203,3.05859375,1.1899800048741582,-23.0
204,3.3984375,12.981600053172636,-23.0
204,3.3984375,1.3290685768724366,-23.0
205,0.0,-1.5145200062034743,-28.0
205,3.2096354166666665,1.4424000059080706,-19.0
206,0.0,-1.6227000066465793,-27.0
206,3.3984375,1.5577920063807162,-19.0
207,0.0,-1.5145200062034743,-27.0
207,3.3984375,1.6227000066465795,-18.0
208,3.61083984375,1.4874750060926978,-18.0
209,3.3984375,1.189980004874158,-17.0
210,3.61083984375,1.2981600053172635,-19.0
211,3.61083984375,1.0818000044310527,-16.0
212,3.61083984375,1.1088450045418292,-16.0
213,3.8839285714285716,1.1127085759862259,-14.0
214,3.8839285714285716,1.2981600053172635,-14.0
215,3.96484375,1.394320005711135,-14.0
216,3.8839285714285716,1.4527028630931282,-14.0
217,4.248046875,1.4604300059819213,-13.0
218,4.53125,1.202000004923392,-13.0
219,5.09765625,-11.142540045639844,-14.0
219,4.88525390625,1.2711150052064872,-14.0
220,4.7578125,1.1899800048741582,-11.0
221,4.7578125,1.1899800048741582,-11.0
222,5.09765625,-0.7031700028801846,-11.0
222,4.53125,-13.414320054945057,-11.0
222,4.7578125,0.9736200039879478,-11.0
223,4.53125,0.9856400040371815,-25.0
224,4.88525390625,1.3252050054280398,-8.0
225,5.09765625,1.514520006203474,-9.0
226,4.943181818181818,1.652203643131063,-8.0
227,0.0,-1.5145200062034743,-4.0
227,4.908854166666667,1.6587600067942811,-9.0
228,5.09765625,1.4712480060262318,-4.0
229,5.09765625,1.2981600053172635,-5.0
230,5.09765625,-13.630680055831265,-6.0
230,5.09765625,1.3414320054945057,-6.0
231,5.09765625,-4.399320018019615,-6.0
231,5.252130681818182,1.1998145503689859,-6.0
232,5.09765625,12.981600053172636,-7.0
232,5.252130681818182,1.003123640472431,-7.0
233,5.09765625,1.081800004431053,-7.0
234,5.4375,1.4063400057603688,-7.0
235,5.31005859375,1.4874750060926978,-4.0
236,5.252130681818182,1.5931963701620964,-7.0
237,5.947265625,1.6227000066465793,-9.0
238,5.947265625,1.3847040056717477,-4.0
239,6.796875,-12.116160049627794,-5.0
239,6.068638392857143,1.2672514337620906,-5.0
240,5.947265625,-0.32454000132931426,-3.0
240,5.947265625,1.2981600053172635,-3.0
241,5.947265625,1.1358900046526055,-3.0
242,6.796875,10.818000044310528,-4.0
242,6.311383928571429,1.1127085759862259,-4.0
243,6.796875,-8.54622003500532,-4.0
243,6.45703125,1.125072004608295,-4.0
244,6.3720703125,1.2440700050957108,-3.0
245,6.45703125,1.4063400057603688,-3.0
246,6.45703125,1.6227000066465795,-4.0
247,6.3720703125,1.4604300059819213,-5.0
248,6.58447265625,1.4874750060926978,-4.0
249,6.642400568181818,1.160476368389675,-3.0
250,6.796875,-4.327200017724211,-4.0
250,6.796875,1.1899800048741582,-4.0
251,6.796875,-9.087120037220846,-4.0
251,6.796875,1.1683440047855371,-4.0
252,6.796875,1.0818000044310532,-3.0
253,6.985677083333333,1.22604000502186,-4.0
254,7.13671875,1.1683440047855371,-3.0
255,6.796875,12.981600053172636,-3.0
255,6.985677083333333,1.370280005612667,-3.0
256,6.796875,-13.630680055831265,-3.0
256,7.282366071428571,1.514520006203474,-3.0
257,7.13671875,1.4063400057603688,-2.0
258,7.00927734375,1.3252050054280398,-2.0
259,7.13671875,1.1899800048741582,-2.0
260,6.796875,-1.1899800048741573,-1.0
260,6.796875,1.189980004874158,-1.0
261,7.646484375,1.2116160049627793,-1.0
262,7.646484375,1.1358900046526055,-1.0
263,7.646484375,1.2260400050218598,-1.0
264,8.49609375,-12.548880051400214,0.0
264,8.010602678571429,1.2981600053172635,0.0
265,8.15625,1.0168920041651899,-1.0
266,10.1953125,5.192640021269054,-4.0
266,8.28369140625,1.5415650063142503,-4.0
267,8.15625,1.6227000066465795,-1.0
268,8.49609375,1.5145200062034743,0.0
269,8.307291666666666,1.370280005612667,-2.0
270,8.49609375,1.3792950056495925,-3.0
271,8.49609375,1.1629350047633817,-5.0
272,8.28369140625,1.0818000044310527,-3.0
273,8.307291666666666,1.370280005612667,-4.0
274,8.49609375,1.4712480060262318,-5.0
275,8.684895833333334,1.4424000059080706,-3.0
276,8.650568181818182,1.652203643131063,-2.0
277,8.8359375,1.6227000066465795,-2.0
278,9.224330357142858,1.4836114346483011,-1.0
279,8.981584821428571,1.2981600053172635,-1.0
280,8.981584821428571,1.2981600053172635,-1.0
281,9.62890625,0.7933200032494387,-4.0
282,9.345703125,1.2116160049627793,-1.0
283,9.345703125,1.2116160049627793,-1.0
284,9.709821428571429,1.0818000044310527,-3.0
285,9.345703125,1.2260400050218598,0.0
286,9.345703125,1.3847040056717477,0.0
287,9.98291015625,1.3252050054280398,-1.0
288,10.1953125,-9.519840038993266,-1.0
288,9.709821428571429,1.3290685768724366,-1.0
289,10.1953125,1.3522500055388162,-1.0
