block,range_m,radial_velocity_mps,angle_deg,doa_cluster_id,n_angle_bins
179,1.69921875,0.8654400035448423,50.0,-1.0,1.0
180,0.0,-0.8654400035448423,0.0,-1.0,4.0
180,1.69921875,0.9736200039879476,-44.0,0.0,3.0
181,1.69921875,0.8173600033479066,-39.0,0.0,3.0
183,1.1328125,0.432720001772422,-39.0,0.0,3.0
183,1.69921875,0.8654400035448422,-39.0,0.0,3.0
184,0.849609375,-6.923520028358739,0.0,-1.0,4.0
184,1.69921875,1.019982861320707,-36.0,0.0,3.0
185,0.849609375,4.110840016838001,0.0,-1.0,4.0
185,1.69921875,1.3522500055388162,-36.0,0.0,3.0
187,0.6796875,-1.7308800070896848,0.0,-1.0,2.0
187,1.69921875,1.7308800070896848,-35.0,-1.0,1.0
191,0.0,-1.2981600053172635,0.0,-1.0,4.0
192,0.0,-1.2981600053172635,0.0,-1.0,4.0
192,1.69921875,1.2981600053172635,-30.0,-1.0,1.0
195,0.0,-1.6227000066465793,0.0,-1.0,2.0
197,0.0,-1.5145200062034743,-28.0,0.0,3.0
197,0.0,-1.5145200062034743,28.0,1.0,3.0
198,0.0,-1.5145200062034743,0.0,-1.0,4.0
198,0.0,-1.5145200062034743,0.0,0.0,3.0
199,0.0,-1.5145200062034743,0.0,-1.0,2.0
200,3.3984375,-13.630680055831265,-28.5,-1.0,2.0
200,3.3984375,1.2981600053172635,-28.5,-1.0,2.0
205,3.2096354166666665,1.4424000059080706,-16.5,0.0,4.0
206,3.3984375,1.5577920063807162,-16.5,-1.0,2.0
207,0.0,-1.5145200062034743,0.0,-1.0,4.0
208,3.61083984375,1.4874750060926978,-15.0,0.0,3.0
209,3.3984375,1.189980004874158,-15.5,-1.0,2.0
210,3.61083984375,1.2981600053172635,38.5,-1.0,2.0
210,3.61083984375,1.2981600053172635,-29.0,0.0,3.0
210,3.61083984375,1.2981600053172635,-14.0,1.0,3.0
211,3.61083984375,1.0818000044310527,-30.5,-1.0,2.0
211,3.61083984375,1.0818000044310527,-14.0,0.0,3.0
211,3.61083984375,1.0818000044310527,41.0,1.0,3.0
212,3.61083984375,1.1088450045418292,-15.0,0.0,3.0
213,3.8839285714285716,1.1127085759862259,-14.0,0.0,3.0
214,3.8839285714285716,1.2981600053172635,-14.5,-1.0,2.0
215,3.96484375,1.394320005711135,-13.0,0.0,3.0
216,3.8839285714285716,1.4527028630931282,-13.0,0.0,3.0
217,4.248046875,1.4604300059819213,-13.0,-1.0,1.0
220,4.7578125,1.1899800048741582,-10.0,0.0,3.0
222,5.09765625,-0.7031700028801846,-8.0,-1.0,1.0
222,4.53125,-13.414320054945057,-8.0,-1.0,1.0
222,4.7578125,0.9736200039879478,-8.0,-1.0,1.0
223,4.53125,0.9856400040371815,-26.0,0.0,3.0
224,4.88525390625,1.3252050054280398,-7.0,0.0,3.0
225,5.09765625,1.514520006203474,-7.0,0.0,3.0
226,4.943181818181818,1.652203643131063,-7.0,0.0,3.0
227,4.908854166666667,1.6587600067942811,-8.0,0.0,3.0
228,5.09765625,1.4712480060262318,-6.5,0.0,4.0
229,5.09765625,1.2981600053172635,-6.0,0.0,3.0
230,5.09765625,-13.630680055831265,-7.0,0.0,3.0
230,5.09765625,1.3414320054945057,-7.0,0.0,3.0
231,5.09765625,-4.399320018019615,-5.5,-1.0,2.0
231,5.252130681818182,1.1998145503689859,-5.5,-1.0,2.0
232,5.09765625,12.981600053172636,-6.5,-1.0,2.0
232,5.252130681818182,1.003123640472431,-6.5,-1.0,2.0
233,5.09765625,1.081800004431053,-7.0,0.0,3.0
234,5.4375,1.4063400057603688,-5.0,0.0,3.0
235,5.31005859375,1.4874750060926978,-5.5,-1.0,2.0
238,5.947265625,1.3847040056717477,-4.5,-1.0,2.0
239,6.796875,-12.116160049627794,-5.0,0.0,3.0
239,6.068638392857143,1.2672514337620906,-5.0,0.0,3.0
240,5.947265625,-0.32454000132931426,-4.0,0.0,3.0
240,5.947265625,1.2981600053172635,-4.0,0.0,3.0
241,5.947265625,1.1358900046526055,-5.0,0.0,3.0
242,6.796875,10.818000044310528,-4.0,0.0,3.0
242,6.311383928571429,1.1127085759862259,-4.0,0.0,3.0
243,6.796875,-8.54622003500532,-4.0,0.0,3.0
243,6.45703125,1.125072004608295,-4.0,0.0,3.0
244,6.3720703125,1.2440700050957108,-3.0,0.0,3.0
245,6.45703125,1.4063400057603688,-4.0,0.0,3.0
246,6.45703125,1.6227000066465795,-2.5,-1.0,2.0
247,6.3720703125,1.4604300059819213,-4.0,0.0,3.0
248,6.58447265625,1.4874750060926978,-3.0,0.0,3.0
249,6.642400568181818,1.160476368389675,-3.0,0.0,3.0
250,6.796875,-4.327200017724211,-2.5,-1.0,2.0
250,6.796875,1.1899800048741582,-2.5,-1.0,2.0
251,6.796875,-9.087120037220846,-3.5,0.0,4.0
251,6.796875,1.1683440047855371,-3.5,0.0,4.0
252,6.796875,1.0818000044310532,-3.0,0.0,3.0
253,6.985677083333333,1.22604000502186,-4.0,0.0,3.0
254,7.13671875,1.1683440047855371,-3.5,-1.0,2.0
255,6.796875,12.981600053172636,-3.0,0.0,3.0
255,6.985677083333333,1.370280005612667,-3.0,0.0,3.0
256,6.796875,-13.630680055831265,-2.0,0.0,3.0
256,7.282366071428571,1.514520006203474,-2.0,0.0,3.0
257,7.13671875,1.4063400057603688,-2.5,0.0,4.0
258,7.00927734375,1.3252050054280398,-2.0,0.0,3.0
259,7.13671875,1.1899800048741582,-2.0,0.0,3.0
260,6.796875,-1.1899800048741573,-1.5,0.0,4.0
260,6.796875,1.189980004874158,-1.5,0.0,4.0
261,7.646484375,1.2116160049627793,-1.0,0.0,3.0
262,7.646484375,1.1358900046526055,-1.0,0.0,3.0
263,7.646484375,1.2260400050218598,-1.5,0.0,4.0
273,8.307291666666666,1.370280005612667,0.0,-1.0,1.0
284,9.709821428571429,1.0818000044310527,0.0,0.0,3.0
285,9.345703125,1.2260400050218598,0.0,-1.0,1.0
287,9.98291015625,1.3252050054280398,0.0,0.0,3.0
288,10.1953125,-9.519840038993266,0.0,0.0,3.0
288,9.709821428571429,1.3290685768724366,0.0,0.0,3.0
289,10.1953125,1.3522500055388162,0.0,0.0,3.0
290,10.1953125,1.0818000044310532,0.0,-1.0,1.0
291,10.1953125,-13.197960054058845,-0.5,-1.0,2.0
291,10.040838068181818,1.160476368389675,-0.5,-1.0,2.0
292,10.040838068181818,1.160476368389675,0.5,-1.0,2.0
293,10.1953125,1.1250720046082952,0.0,-1.0,1.0
299,10.1953125,1.2981600053172635,0.0,-1.0,1.0
311,11.139322916666666,0.9616000039387137,-5.0,0.0,3.0
312,11.705729166666666,1.1298800046279884,-3.5,-1.0,2.0
315,11.5546875,0.9087120037220844,-4.5,-1.0,2.0
316,11.740056818181818,0.9441163675034644,-2.5,-1.0,2.0
317,11.740056818181818,1.160476368389675,-3.0,0.0,3.0
318,11.611328125,1.3342200054649653,-2.5,-1.0,2.0
319,11.89453125,1.2711150052064872,-1.5,-1.0,2.0
320,11.89453125,1.3414320054945057,-1.0,0.0,3.0
321,11.89453125,1.1899800048741582,-2.5,-1.0,2.0
322,11.89453125,0.9736200039879476,-2.5,-1.0,2.0
323,11.89453125,0.9736200039879476,-3.0,0.0,3.0
324,11.89453125,0.8654400035448422,-2.0,0.0,3.0
325,12.137276785714286,0.9581657182103609,14.0,-1.0,3.0
326,11.89453125,0.9736200039879476,14.0,-1.0,3.0
327,12.380022321428571,1.0818000044310527,-2.0,0.0,3.0
328,12.4609375,1.1779600048249241,-2.0,0.0,3.0
329,12.234375,1.3630680055831266,-2.5,-1.0,2.0
330,12.234375,1.1899800048741582,-3.5,-1.0,2.0
332,12.4609375,1.394320005711135,-2.0,0.0,3.0
333,12.744140625,1.0818000044310527,-2.0,0.0,3.0
334,12.622767857142858,1.0508914328758798,-2.5,-1.0,2.0
335,12.744140625,1.0818000044310527,-2.0,0.0,3.0
336,12.865513392857142,1.0508914328758798,-0.5,-1.0,2.0
340,13.25390625,1.4063400057603688,0.0,0.0,3.0
341,13.59375,1.3414320054945057,0.5,-1.0,2.0
342,13.59375,1.514520006203474,0.0,0.0,3.0
343,13.59375,1.1899800048741582,1.5,-1.0,2.0
344,13.59375,1.0385280042538108,0.0,0.0,3.0
345,13.59375,1.0818000044310532,1.0,0.0,3.0
346,13.404947916666666,1.22604000502186,1.0,0.0,3.0
347,13.59375,0.9736200039879477,1.0,0.0,3.0
348,13.59375,0.9952560040765686,1.0,0.0,3.0
349,13.782552083333334,1.1539200047264564,2.0,0.0,3.0
350,13.80615234375,1.4874750060926978,1.0,0.0,3.0
351,13.59375,1.2981600053172635,1.5,-1.0,2.0
352,13.93359375,1.4063400057603688,1.0,0.0,3.0
353,13.80615234375,1.8120150074220134,1.0,0.0,3.0
354,13.80615234375,1.2711150052064872,1.0,0.0,3.0
355,14.079241071428571,1.0818000044310527,1.0,0.0,3.0
356,13.59375,1.0385280042538108,1.0,0.0,3.0
357,14.0185546875,1.1358900046526055,1.0,0.0,3.0
358,14.16015625,1.1779600048249241,1.0,0.0,3.0
359,14.16015625,1.2741200052187955,1.0,0.0,3.0
360,14.443359375,1.2981600053172635,0.5,0.0,4.0
361,14.7265625,1.202000004923392,0.0,-1.0,1.0
362,15.29296875,1.2981600053172635,-0.5,-1.0,2.0
366,15.009765625,1.0818000044310527,0.0,0.0,3.0
367,15.29296875,0.9272571466551881,0.5,-1.0,2.0
368,15.08056640625,1.0547550043202765,1.0,0.0,3.0
369,15.29296875,1.2363428622069175,1.0,0.0,3.0
370,15.29296875,1.0818000044310532,2.5,-1.0,2.0
371,15.29296875,1.2981600053172635,1.0,0.0,3.0
372,15.447443181818182,1.3768363692758856,1.0,0.0,3.0
373,15.4345703125,1.4784600060557722,1.0,0.0,3.0
374,15.50537109375,1.1088450045418292,1.0,0.0,3.0
375,15.29296875,1.019982861320707,0.5,-1.0,2.0
377,15.481770833333334,1.0096800041356493,0.5,-1.0,2.0
378,15.576171875,0.757260003101737,0.5,-1.0,2.0
379,15.50537109375,0.8654400035448423,0.5,0.0,4.0
380,15.859375,0.9856400040371815,1.0,0.0,3.0
381,15.29296875,0.9736200039879476,1.5,-1.0,2.0
382,15.778459821428571,1.0818000044310527,1.5,-1.0,2.0
383,16.142578125,1.1683440047855371,2.0,0.0,3.0
384,16.142578125,1.2981600053172635,1.5,-1.0,2.0
386,16.3125,0.9303480038107054,0.0,-1.0,1.0
388,16.77978515625,0.8924850036556187,1.0,0.0,3.0
389,16.5673828125,0.7843050032125133,2.0,0.0,3.0
390,16.506696428571427,0.8963485751000151,2.0,-1.0,1.0
394,16.65234375,1.1467080046969162,2.0,0.0,3.0
395,16.65234375,1.2116160049627793,2.5,-1.0,2.0
396,16.9921875,1.2194836413586416,2.5,-1.0,2.0
397,16.837713068181817,0.7277563666172536,1.5,-1.0,2.0
398,16.77978515625,0.8383950034340659,2.5,-1.0,2.0
399,16.9921875,0.494537144882767,3.0,0.0,3.0
400,16.5673828125,0.5138550021047501,3.5,-1.0,2.0
401,16.9921875,0.43272000177242115,1.5,-1.0,2.0
402,16.9921875,0.6220350025478555,2.0,-1.0,1.0
403,16.9921875,0.494537144882767,2.0,-1.0,1.0
407,17.275390625,0.6851400028063335,4.0,0.0,3.0
409,16.9921875,0.2884800011816141,4.0,0.0,3.0
410,17.180989583333332,0.5529200022647603,4.0,-1.0,1.0
411,16.9921875,0.38944800159517906,4.0,-1.0,1.0
412,17.180989583333332,0.4086800016739533,4.0,0.0,3.0
413,16.9921875,0.43272000177242115,4.0,0.0,3.0
414,16.9921875,0.43272000177242115,4.5,-1.0,2.0
415,16.9921875,0.43272000177242115,4.0,-1.0,1.0
417,16.9921875,0.389448001595179,4.5,-1.0,2.0
418,16.9921875,0.43272000177242115,4.5,-1.0,2.0
419,17.275390625,0.6490800026586317,4.5,-1.0,2.0
420,17.33203125,0.7572600031017369,4.5,-1.0,2.0
421,17.477678571428573,0.6490800026586317,5.5,-1.0,2.0
422,17.610085227272727,0.43272000177242115,5.5,-1.0,2.0
423,17.4169921875,0.5679450023263027,5.0,-1.0,1.0
424,17.33203125,0.28126800115207373,6.0,0.0,3.0
425,17.33203125,0.28126800115207373,5.0,0.0,3.0
426,17.20458984375,0.45976500188319747,5.0,-1.0,1.0
427,17.4169921875,0.29749500121853956,4.5,-1.0,2.0
428,17.841796875,0.1081800004431053,4.5,-1.0,2.0
430,17.55859375,-0.10818000044310531,4.5,-1.0,2.0
431,17.841796875,0.14424000059080705,5.0,-1.0,1.0
439,17.841796875,0.1081800004431053,5.5,-1.0,2.0
440,17.841796875,0.6490800026586317,5.0,-1.0,1.0
440,16.9921875,-0.43272000177242115,5.0,-1.0,1.0
441,17.841796875,0.6490800026586317,5.5,-1.0,2.0
441,16.9921875,-0.43272000177242115,5.5,-1.0,2.0
442,16.9921875,9.519840038993266,5.0,-1.0,1.0
442,17.275390625,0.036060000147701755,5.0,-1.0,1.0
444,17.301136363636363,0.2556981828655216,5.5,-1.0,2.0
445,17.275390625,0.3966600016247194,6.0,-1.0,1.0
446,17.180989583333332,0.456760001870889,5.5,-1.0,2.0
448,17.841796875,0.2163600008862106,6.5,-1.0,2.0
449,17.33203125,0.5192640021269054,6.5,-1.0,2.0
450,17.55859375,0.5288800021662925,6.5,-1.0,2.0
451,17.671875,0.04327200017724211,6.5,-1.0,2.0
452,17.720424107142858,0.12363428622069175,5.5,-1.0,2.0
453,17.841796875,-0.14424000059080708,6.0,0.0,3.0
454,17.20458984375,0.18931500077543426,7.0,-1.0,1.0
455,17.4169921875,0.0,7.0,0.0,3.0
456,17.55859375,0.3365600013785498,7.0,0.0,3.0
459,17.963169642857142,0.40181143021724824,8.0,-1.0,1.0
460,17.55859375,0.12020000049233921,7.5,-1.0,2.0
461,17.841796875,0.3461760014179369,8.0,-1.0,1.0
465,17.671875,-0.6058080024813897,7.5,-1.0,2.0
466,17.841796875,0.0,8.0,-1.0,1.0
467,17.275390625,0.036060000147701755,9.0,-1.0,1.0
469,17.55859375,0.14424000059080705,9.5,-1.0,2.0
470,17.20458984375,0.18931500077543426,9.5,-1.0,2.0
473,17.841796875,0.2884800011816141,10.0,-1.0,1.0
474,17.55859375,0.14424000059080705,10.5,-1.0,2.0
475,17.501953125,0.19472400079758953,10.5,-1.0,2.0
476,17.55859375,0.5529200022647603,10.5,-1.0,2.0
477,17.841796875,0.5048400020678246,10.5,-1.0,2.0
478,17.841796875,0.7572600031017369,10.5,-1.0,2.0
479,17.720424107142858,0.40181143021724824,11.0,0.0,3.0
480,17.671875,0.17308800070896846,11.5,0.0,4.0
482,17.841796875,0.5409000022155265,12.0,0.0,3.0
483,17.841796875,-0.05409000022155265,11.5,0.0,4.0
484,17.841796875,-0.27045000110776324,11.5,0.0,4.0
485,17.55859375,-0.36060000147701765,12.5,-1.0,2.0
486,17.477678571428573,0.09272571466551881,11.0,0.0,3.0
487,17.841796875,-0.1730880007089685,11.0,0.0,3.0
489,17.841796875,-0.14424000059080708,12.0,0.0,3.0
490,17.477678571428573,0.1545428577758647,12.5,0.0,4.0
491,17.841796875,0.21636000088621057,11.5,-1.0,2.0
493,17.841796875,-0.05409000022155264,13.0,0.0,3.0
495,17.671875,-0.04327200017724214,13.0,0.0,3.0
498,17.841796875,0.14424000059080705,13.5,0.0,4.0
499,17.841796875,-0.36060000147701765,14.5,0.0,4.0
504,17.841796875,0.21636000088621057,16.0,0.0,3.0
505,17.671875,0.17308800070896846,16.0,0.0,3.0
508,17.841796875,-0.05409000022155265,16.0,0.0,3.0
510,17.841796875,0.21636000088621057,17.0,0.0,3.0
511,17.841796875,0.43272000177242115,18.0,-1.0,1.0
512,17.720424107142858,0.3090857155517294,18.0,0.0,3.0
514,17.841796875,0.2884800011816141,18.0,0.0,3.0
520,17.841796875,0.1081800004431053,20.5,-1.0,2.0
523,17.841796875,-0.43272000177242115,20.5,-1.0,2.0
528,17.841796875,-0.14424000059080708,21.5,-1.0,2.0
565,18.69140625,0.3515850014400922,23.5,-1.0,2.0
589,18.408203125,-0.3966600016247194,20.5,-1.0,2.0
591,18.125,-0.5288800021662925,20.5,-1.0,2.0
592,18.69140625,-0.26444000108314625,20.0,0.0,3.0
593,18.47900390625,-0.18931500077543426,20.0,0.0,3.0
604,17.841796875,-0.43272000177242115,21.5,-1.0,2.0
609,17.841796875,0.0,21.0,0.0,3.0
610,17.841796875,0.0,20.5,-1.0,2.0
612,17.841796875,-0.21636000088621063,20.0,0.0,3.0
616,17.33203125,-0.3461760014179369,18.5,0.0,4.0
618,17.841796875,-0.05409000022155264,18.0,0.0,3.0
623,17.841796875,-0.5409000022155265,18.0,0.0,3.0
624,17.841796875,-0.7031700028801844,17.0,0.0,3.0
627,17.841796875,-0.48681000199397384,16.0,0.0,3.0
628,17.477678571428573,-0.43272000177242115,17.0,0.0,3.0
629,17.477678571428573,-0.43272000177242115,16.0,0.0,3.0
630,17.477678571428573,-0.03090857155517295,15.0,0.0,3.0
631,17.841796875,0.43272000177242115,15.5,0.0,4.0
631,17.841796875,-0.757260003101737,15.5,0.0,4.0
632,17.841796875,0.1081800004431053,15.0,0.0,3.0
633,17.275390625,0.036060000147701755,15.0,0.0,3.0
634,17.841796875,-0.10818000044310529,15.5,0.0,4.0
635,17.841796875,0.0,15.5,0.0,4.0
636,17.841796875,-0.14424000059080708,14.5,0.0,4.0
639,17.841796875,-0.3245400013293158,15.0,0.0,3.0
640,17.720424107142858,-0.3709028586620753,14.0,0.0,3.0
641,17.841796875,-0.14424000059080708,13.5,-1.0,2.0
643,17.841796875,-0.43272000177242115,13.5,-1.0,2.0
644,17.477678571428573,-0.21636000088621057,13.0,0.0,3.0
645,17.841796875,-0.27045000110776324,12.5,0.0,4.0
646,17.841796875,-0.4327200017724212,12.0,0.0,3.0
647,17.841796875,-0.07212000029540354,12.0,0.0,3.0
648,17.477678571428573,-0.43272000177242115,11.5,0.0,4.0
649,17.841796875,-0.43272000177242115,12.0,0.0,3.0
650,17.841796875,-0.1081800004431053,11.5,-1.0,2.0
