time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
88600,2026-05-22 08:54:17,51.9888060635166,4.38997033872238,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-3.784140212956,0,0,0,0,25,5,0,0,0,0,0,0,0,0,23.1, 4.6, -1.1,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,0,86,-3.784140212956,0,41,Motors_Started,"Flying over vegetation."
88700,2026-05-22 08:54:17,51.9888060504221,4.38997034601904,0,,,-3.784140212956,0,0,0.0050509844136,0.0050509844136,25,5,0,0,0,0,0.0050509844136,0,0,0,23.1, 4.6, -1.1,,,0,0,364,364,364,1684,-100,-100,-100,100,17.6,0,0,91,4.03,4.023,4.024,0,0,0,0,86,-3.784140212956,0,41,Motors_Started,
88800,2026-05-22 08:54:17,51.9888060747086,4.3899703270905,0,,,-3.784140212956,0,0,0.004848097268,0.0148796592688,25,5,0,0,0,0,0.0050509844136,0,0,0,23.1, 4.6, -1.1,,,0,0,432,722,364,1684,-90,-46,-100,100,17.6,0,0,91,4.03,4.023,4.024,0,0,0,0,86,-3.784140212956,0,41,Motors_Started,
88900,2026-05-22 08:54:17,51.9888060647651,4.38997033149875,0,,,-3.784140212956,0,0,0.00168571527704,0.0186403221188,25,5,0,0,0,0,0.0050509844136,0,0,0,23.1, 4.6, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,0,86,-3.784140212956,0,41,Motors_Started,
89000,2026-05-22 08:54:17,51.988806084355,4.38997047331237,0,,,-3.784140212956,0,0,0.031180775276,0.051294949148,25,5,0,0,0,0,0.031180775276,0,0,0,23.1, 4.5, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,0,86,-3.784140212956,0,41,Motors_Started,
89100,2026-05-22 08:54:17,51.9888060776677,4.38997049004113,0,,,-3.784140212956,0,0,0.03438812446,0.05577592042,25,5,0,0,0,0,0.03438812446,0,0,0,23.1, 4.5, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,0,86,-3.784140212956,0,41,Motors_Started,"Setting new Return-To-Home altitude to 97m (318 ft). Data Recorder File Index is 25. Setting new Maximum Flight Altitude to 285m (935 ft)"
89200,2026-05-22 08:54:17,51.9888060941834,4.38997045817823,0,,,-3.784140212956,0,0,10.9765751544,0.065133204184,25,5,0,0,0,0,10.9765751544,0,0,0,23.1, 4.6, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,0,86,-3.784140212956,0,41,Motors_Started,
89300,2026-05-22 08:54:18,51.9888060899203,4.38997047016834,0,,,-3.784140212956,0,0,10.973753632,0.068244096672,25,5,0,0,0,0,10.9765751544,0,0,0,23.1, 4.5, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,0,86,-3.784140212956,0,41,Motors_Started,
89400,2026-05-22 08:54:18,51.9888061018494,4.38997044299714,0,,,-3.784140212956,0,0,10.9802496952,0.07574147224,25,5,12.152,0,0,0,10.9802496952,0,0,0,23.1, 4.5, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,1.83,86,-3.784140212956,0,41,Motors_Started,
89500,2026-05-22 08:54:18,51.9888060995656,4.38997045067116,0,,,-3.784140212956,0,0,10.9784780416,0.077656498548,25,5,12.152,0,0,0,10.9802496952,0,0,0,23.1, 4.5, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,1.83,86,-3.784140212956,0,41,Motors_Started,
89600,2026-05-22 08:54:18,51.9888061078106,4.38997042893246,0,,,-3.784140212956,0,0,10.9836289604,0.083392719204,25,5,12.152,0,0,0,10.9836289604,0,0,0,23.1, 4.6, -1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,1.83,86,-3.784140212956,0,41,Motors_Started,
89700,2026-05-22 08:54:18,51.9888061076212,4.38997043394587,0,,,-3.784140212956,0,0,10.9825134748,0.084521328164,25,5,12.152,0,0,0,10.9836289604,0,0,0,23.1, 4.5, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,1.83,86,-3.784140212956,0,41,Motors_Started,
89800,2026-05-22 08:54:18,51.9888061137656,4.38997057278936,0,,,-3.784140212956,0,0,10.9517063872,0.115796919716,25,5,12.152,0,0,0,10.9836289604,0,0,0,23.1, 4.5, -1.1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,1.83,86,-3.784140212956,0,41,Motors_Started,
89900,2026-05-22 08:54:18,51.9888061157363,4.3899705870401,0,,,-3.784140212956,0,0,10.9485895892,0.119078415884,25,5,12.152,0,0,0,10.9836289604,0,0,0,23.2, 4.5, -1,,,0,0,1024,1024,1024,1024,0,0,0,0,17.6,0,0,91,4.03,4.023,4.024,0,0,0,1.83,86,-3.784140212956,0,41,Motors_Started,
