time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
12100,2026-05-22 09:15:47,51.9888047017478,4.39002360369103,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-3.784140212956,0.328084,0,0,0,24,5,0,0,0,0,0,0,0,0,169.9, -0.1, 0.4,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,166,0,1.2,88,4.008,4.004,0,0,0,0,0,90.14,-3.784140212956,0,6,P-GPS,"Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 37. Setting new Maximum Flight Altitude to 120m (394 ft). Flying over vegetation."
12200,2026-05-22 09:15:47,51.9888047011915,4.39002360465169,0,,,-3.784140212956,0.328084,0,0.000296283474048,0.000296283474048,24,5,0,0,0,0,0.000296283474048,0,0,0,169.9, -0.1, 0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,166,0,1.2,88,4.008,4.004,0,0,0,0,0,90.14,-3.784140212956,0,41,Motors_Started,
12300,2026-05-22 09:15:47,51.9888047001334,4.39002350021121,0,,,-3.784140212956,0.328084,0,0.0232572842088,0.0237651254324,24,5,0,0,0,0,0.0232572842088,0,0,0,169.9, -0.1, 0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,166,0,1.2,88,4.008,4.004,0,0,0,0,0,90.14,-3.784140212956,0,41,Motors_Started,
12400,2026-05-22 09:15:48,51.9888047004708,4.39002350186864,0,,,-3.784140212956,0.328084,0,0.0228821857716,0.0241573498544,24,5,0,0,0,0,0.0232572842088,0,0,0,169.9, -0.1, 0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,166,0,1.2,88,4.008,4.004,0,0,0,0,0,90.14,-3.784140212956,0,41,Motors_Started,
12500,2026-05-22 09:15:48,51.9888047013987,4.39002350479919,0,,,-3.784140212956,0.328084,0,0.0222193576664,0.0248977042088,24,5,0,0,0,0,0.0232572842088,0,0,0,169.9, -0.1, 0.4,,,0,0,364,364,364,1684,-100,-100,-100,100,165.9,0,1.2,88,4.008,4.004,0,0,0,0,0,90.14,-3.784140212956,0,41,Motors_Started,
12600,2026-05-22 09:15:48,51.98880460378,4.39002380752578,0,,,-3.784140212956,0.328084,0,0.058094818132,0.101675200104,24,5,0,0,0,0,0.058094818132,0,0,0,169.9, -0.1, 0.4,,,0,0,364,364,364,1684,-100,-100,-100,100,165.9,0,1.2,88,4.008,4.004,0,0,0,0,0,90.14,-3.784140212956,0,41,Motors_Started,
12700,2026-05-22 09:15:48,51.9888046049301,4.39002380912604,0,,,-3.784140212956,0.328084,0,0.058122705272,0.10222769356,24,5,0,0,0,0,0.058122705272,0,0,0,169.9, -0.1, 0.4,,,0,0,364,364,364,1684,-100,-100,-100,100,165.9,0,1.2,88,4.008,4.004,0,0,0,0,0,90.14,-3.784140212956,0,41,Motors_Started,
12800,2026-05-22 09:15:48,51.9888048040103,4.39002360297502,0,,,-3.784140212956,0.328084,0,0.037310696732,0.188373365608,24,5,0,0,0,0,0.058122705272,0,0,0,169.9, -0.1, 0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,165.9,0,1.2,88,4.008,4.004,0,0,0,0,0,90.14,-3.784140212956,0,41,Motors_Started,
12900,2026-05-22 09:15:48,51.9888050034455,4.39002289637754,0,,,-3.784140212956,0.328084,0,0.193317263404,0.36301182264,24,5,8.1,0,0,0,0.193317263404,0,0,0,169.8, -0.1, 0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,165.9,0,1.2,88,4.008,4.004,0,0,0,0,0.794,90.14,-3.784140212956,0,41,Motors_Started,
13000,2026-05-22 09:15:48,51.9888050087666,4.39002289383216,0,,,-3.784140212956,0.328084,0,0.194896987864,0.36503610092,24,5,8.1,0,0,0,0.194896987864,0,0,0,169.8, -0.1, 0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,165.8,0,1.2,88,4.008,4.004,0,0,0,0,0.794,90.14,-3.784140212956,0,41,Motors_Started,
13100,2026-05-22 09:15:48,51.988805010397,4.39002289143959,0,,,-3.784140212956,0.328084,0,0.19567914012,0.36583662588,24,5,8.1,0,0,0,0.19567914012,0,0,0,170, -0.1, 0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,165.8,0,1.2,88,4.008,4.004,0,0,0,0,0.794,90.14,-3.784140212956,0,41,Motors_Started,
13200,2026-05-22 09:15:48,51.9888054034964,4.39002189312358,0,,,-3.784140212956,0.328084,0,0.46180447672,0.63207351104,24,5,8.1,0,0,0,0.46180447672,0,0,0,170.1, -0.1, 0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,165.8,0,1.2,88,4.008,4.004,0,0,0,0,0.794,90.14,-3.784140212956,0,41,Motors_Started,
