block,range_m,angle_deg
4,1.69921875,-48.0
5,2.548828125,49.0
6,1.69921875,2.0
7,1.69921875,-46.0
9,2.548828125,-1.0
10,1.69921875,-60.0
16,1.982421875,-48.0
64,1.69921875,-48.0
125,1.69921875,41.0
126,1.48681640625,-44.0
127,1.48681640625,-52.0
129,0.849609375,-45.0
130,0.849609375,-48.0
131,1.69921875,-1.0
132,1.69921875,0.0
134,1.69921875,0.0
135,2.265625,0.0
136,1.69921875,-40.0
137,1.1328125,-43.0
140,2.0390625,43.0
141,1.69921875,43.0
143,2.548828125,2.0
144,0.0,1.0
144,1.69921875,1.0
145,0.0,1.0
145,2.548828125,1.0
146,0.0,0.0
146,2.71875,0.0
147,0.0,1.0
147,3.115234375,1.0
148,3.3984375,1.0
149,4.248046875,1.0
150,4.248046875,1.0
151,5.09765625,0.0
151,5.09765625,0.0
152,5.4375,1.0
153,5.09765625,2.0
154,5.380859375,1.0
155,5.583147321428571,1.0
156,5.09765625,1.0
157,5.947265625,1.0
158,5.4375,2.0
159,5.947265625,3.0
160,5.6640625,3.0
161,5.947265625,1.0
162,5.947265625,0.0
163,5.947265625,1.0
164,5.947265625,1.0
165,5.947265625,1.0
166,6.1171875,1.0
167,6.311383928571429,1.0
168,6.796875,1.0
169,6.796875,3.0
170,6.796875,2.0
171,6.796875,1.0
172,6.796875,2.0
173,7.4765625,3.0
174,7.646484375,2.0
175,8.212890625,2.0
176,8.212890625,2.0
177,8.010602678571429,2.0
178,8.49609375,2.0
179,8.49609375,2.0
180,8.28369140625,2.0
181,8.49609375,2.0
182,8.49609375,2.0
183,8.49609375,4.0
184,8.49609375,1.0
185,8.49609375,1.0
186,8.49609375,2.0
189,8.49609375,1.0
189,8.49609375,1.0
191,8.49609375,0.0
193,8.49609375,1.0
193,8.49609375,1.0
196,8.49609375,2.0
197,8.49609375,4.0
201,8.49609375,3.0
202,7.646484375,1.0
202,8.49609375,1.0
208,8.49609375,0.0
215,8.49609375,2.0
219,8.49609375,3.0
219,8.49609375,3.0
227,8.49609375,0.0
228,8.49609375,1.0
229,8.49609375,0.0
230,8.49609375,1.0
231,8.8359375,1.0
232,8.49609375,1.0
233,8.49609375,2.0
234,8.779296875,1.0
235,8.8359375,2.0
236,9.345703125,2.0
238,9.912109375,44.0
239,9.345703125,2.0
240,10.1953125,2.0
241,10.1953125,2.0
242,11.044921875,2.0
243,11.044921875,2.0
244,11.89453125,2.0
245,11.89453125,38.0
246,12.10693359375,41.0
247,12.380022321428571,2.0
248,12.744140625,40.0
249,13.38134765625,45.0
250,13.80615234375,44.0
251,13.59375,38.0
252,14.443359375,41.0
253,15.29296875,42.0
254,15.009765625,34.0
255,15.6328125,38.0
256,15.859375,43.0
258,16.708984375,39.0
259,16.42578125,31.0
260,16.9921875,35.0
261,16.77978515625,36.0
262,16.9921875,39.0
263,16.9921875,39.0
264,17.33203125,40.0
268,17.841796875,40.0
269,18.69140625,38.0
270,16.9921875,34.0
312,17.841796875,43.0
313,17.841796875,45.0
314,17.841796875,34.0
315,17.841796875,41.0
316,17.841796875,42.0
317,18.69140625,40.0
318,17.841796875,42.0
319,18.69140625,43.0
320,18.69140625,42.0
321,19.541015625,44.0
322,19.541015625,39.0
323,19.541015625,40.0
324,19.82421875,37.0
325,20.107421875,31.0
326,20.673828125,40.0
327,21.240234375,27.0
328,21.240234375,36.0
330,22.65625,32.0
331,22.65625,33.0
332,22.939453125,26.0
333,22.939453125,38.0
335,23.7890625,24.0
336,24.638671875,31.0
337,25.48828125,29.0
338,25.48828125,25.0
339,26.337890625,25.0
341,26.337890625,22.0
342,27.1875,23.0
343,27.1875,23.0
344,27.1875,24.0
348,28.037109375,21.0
400,28.037109375,23.0
401,28.037109375,23.0
402,28.3203125,28.0
403,28.88671875,24.0
404,28.88671875,27.0
405,28.88671875,26.0
413,32.28515625,24.0
422,37.3828125,-37.0
425,3.3984375,-34.0
425,39.08203125,-36.0
426,2.548828125,-1.0
427,2.83203125,42.0
428,39.08203125,-35.0
429,39.931640625,-33.0
430,39.931640625,-35.0
431,39.931640625,-35.0
440,39.08203125,-39.0
442,39.08203125,-35.0
445,39.08203125,-32.0
446,39.08203125,-35.0
448,39.08203125,-33.0
483,39.6484375,-34.0
486,39.08203125,-32.0
488,40.78125,-30.0
489,40.78125,-38.0
576,56.07421875,-46.0
663,71.3671875,0.0
743,3.3984375,-37.0
809,28.037109375,21.0
811,25.828125,23.0
812,24.921875,22.0
813,22.939453125,31.0
814,22.65625,31.0
816,20.390625,31.0
817,19.2578125,32.0
818,18.125,46.0
819,16.9921875,41.0
820,16.142578125,1.0
822,14.443359375,38.0
823,13.02734375,47.0
824,12.177734375,-1.0
825,11.044921875,-2.0
826,10.40771484375,-3.0
827,9.912109375,-4.0
828,8.70849609375,-9.0
829,7.646484375,-10.0
830,6.796875,-14.0
831,5.947265625,-17.0
832,5.583147321428571,-20.0
833,4.814453125,-23.0
834,4.248046875,-24.0
836,3.3984375,-35.0
837,3.3984375,-36.0
838,2.83203125,-40.0
842,2.548828125,-42.0
843,3.3984375,-44.0
845,3.3984375,45.0
846,2.548828125,47.0
