block,range_m,radial_velocity_mps,angle_deg
0,1.69921875,-0.21636000088621057,69.0
3,3.05859375,-0.08654400035448426,-38.0
4,3.3984375,-0.6490800026586317,47.0
5,3.3984375,-0.6490800026586317,-75.0
6,2.548828125,-0.43272000177242115,-15.0
7,1.69921875,-0.43272000177242115,-17.0
8,1.91162109375,-0.40567500166164483,45.0
9,2.1847098214285716,-0.6799885742138045,-3.0
10,2.1847098214285716,-0.8345314319896694,43.0
11,2.1847098214285716,-0.6799885742138047,43.0
12,2.1847098214285716,-0.8963485751000153,3.0
13,1.9419642857142858,-0.8036228604344965,-2.0
14,0.0,0.8654400035448423,-7.0
14,1.982421875,-0.7212000029540353,-3.0
15,0.0,0.8654400035448423,-8.0
15,1.69921875,-0.8221680033676002,-4.0
16,2.0390625,-0.778896003190358,59.0
17,1.69921875,-0.43272000177242115,-32.0
18,1.359375,-0.1730880007089685,-3.0
19,1.69921875,-9.25185853854297e-18,-2.0
20,1.982421875,-0.18030000073850883,-17.0
21,1.69921875,-0.3245400013293159,-18.0
22,1.69921875,-0.43272000177242115,49.0
26,2.548828125,-0.43272000177242115,43.0
27,2.265625,-0.07212000029540351,-4.0
31,2.265625,-0.36060000147701765,59.0
32,1.359375,-0.04327200017724213,-28.0
33,1.69921875,0.43272000177242115,-14.0
37,3.3984375,0.43272000177242115,-38.0
38,2.548828125,0.43272000177242115,43.0
41,2.9736328125,0.10818000044310529,0.0
45,3.3984375,0.21636000088621057,-31.0
52,3.3984375,0.0,-4.0
55,3.3984375,-0.43272000177242115,-7.0
64,5.947265625,-0.6490800026586317,-3.0
73,55.224609375,-4.543560018610423,-4.0
75,54.375,-2.596320010634527,-8.0
80,54.375,1.0818000044310527,-7.0
128,1.01953125,0.04327200017724211,54.0
129,0.0,0.43272000177242115,-44.0
180,1.69921875,1.7308800070896846,13.0
210,15.29296875,-0.43272000177242115,43.0
221,3.3984375,-0.8654400035448423,-31.0
224,1.69921875,-0.43272000177242115,34.0
237,2.548828125,0.43272000177242115,42.0
238,2.548828125,-0.43272000177242115,18.0
240,1.2744140625,-0.2163600008862106,-20.0
241,0.56640625,-0.14424000059080705,-19.0
242,1.69921875,-0.43272000177242115,-13.0
243,0.56640625,-0.14424000059080705,-18.0
249,1.2744140625,0.3786300015508685,37.0
250,1.359375,-0.08654400035448426,16.0
251,1.01953125,0.08654400035448423,-44.0
252,1.3216145833333333,-0.12020000049233921,-3.0
253,1.69921875,-6.707160027472528,-1.0
253,1.1328125,-0.04808000019693568,-1.0
254,1.69921875,-5.841720023927686,-4.0
254,0.849609375,0.0,-8.0
255,1.359375,-0.04327200017724213,45.0
256,1.69921875,-0.43272000177242115,-32.0
256,1.69921875,0.6490800026586317,-32.0
257,0.9709821428571429,0.061817143110345876,-42.0
258,1.01953125,2.509776010280043,-31.0
258,0.849609375,0.13522500055388165,-10.0
259,0.7282366071428571,0.06181714311034587,-7.0
260,1.1328125,-2.379960009748316,2.0
260,0.9440104166666666,-0.07212000029540357,2.0
