time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-05-28 07:50:07,51.9888114226709,4.38998403161504,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-3.837215345888,0.328084,0,0,0,26,5,0,0,0,0,0,0,0,0,30.1, 1.4, -0.1,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,"Flying over vegetation."
100,2026-05-28 07:50:07,51.9888114173895,4.38998401408632,0,,,-3.837215345888,0.328084,0,0.0043844817676,0.0043844817676,26,5,0,0,0,0,0.0043844817676,0,0,0,30.1, 1.4, -0.1,,,0,0,364,364,364,1684,-100,-100,-100,100,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
200,2026-05-28 07:50:07,51.9888114310862,4.38998405697525,0,,,-3.837215345888,0.328084,0,0.0064725067688,0.0152394361832,26,5,0,0,0,0,0.0064725067688,0,0,0,30.1, 1.4, -0.1,,,0,0,364,364,364,1684,-100,-100,-100,100,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
300,2026-05-28 07:50:07,51.9888114276884,4.38998404600598,0,,,-3.837215345888,0.328084,0,0.0037156169168,0.0179982289224,25,5,0,0,0,0,0.0064725067688,0,0,0,30.1, 1.4, -0.1,,,0,0,364,364,364,1684,-100,-100,-100,100,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
400,2026-05-28 07:50:07,51.9888114367384,4.38998407603813,0,,,-3.837215345888,0.328084,0,0.0112232943224,0.0255104338872,25,5,0,0,0,0,0.0112232943224,0,0,0,30.1, 1.4, -0.1,,,0,0,364,364,364,1684,-100,-100,-100,100,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
500,2026-05-28 07:50:07,51.9888114352229,4.38998406958878,0,,,-3.837215345888,0.328084,0,0.0096833008348,0.0270613853804,26,5,0,0,0,0,0.0112232943224,0,0,0,30.1, 1.4, -0.1,,,0,0,364,364,364,1684,-100,-100,-100,100,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
600,2026-05-28 07:50:07,51.9888114424625,4.38998409097264,0,,,-3.837215345888,0.328084,0,0.0151658797504,0.0325440955296,26,5,0,0,0,0,0.0151658797504,0,0,0,30.1, 1.3, -0.1,,,0,0,364,364,364,1684,-100,-100,-100,100,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
700,2026-05-28 07:50:07,51.9888114428518,4.38998408924806,0,,,-3.837215345888,0.328084,0,0.0148959650436,0.032956693968,25,5,0,0,0,0,0.0151658797504,0,0,0,30.1, 1.3, -0.1,,,0,0,364,364,364,1684,-100,-100,-100,100,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
800,2026-05-28 07:50:07,51.9888114477241,4.38998410260842,0,,,-3.837215345888,0.328084,0,0.01838418694,0.036445539224,25,5,0,0,0,0,0.01838418694,0,0,0,30.1, 1.3, -0.1,,,0,0,1024,1024,1024,1024,0,0,0,0,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
900,2026-05-28 07:50:08,51.9888114498302,4.38998410403189,0,,,-3.837215345888,0.328084,0,0.0190504927356,0.037277888332,24,5,0,0,0,0,0.0190504927356,0,0,0,30.1, 1.3, -0.1,,,0,0,1024,1024,1024,1024,0,0,0,0,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,"Setting new Return-To-Home altitude to 97m (318 ft). Data Recorder File Index is 32. Setting new Maximum Flight Altitude to 285m (935 ft)"
1000,2026-05-28 07:50:08,51.988811452402,4.38998411223768,0,,,-3.837215345888,0.328084,0,0.0211138130116,0.039346457952,24,5,0,0,0,0,0.0211138130116,0,0,0,30.1, 1.4, -0.1,,,0,0,1024,1024,1024,1024,0,0,0,0,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
1100,2026-05-28 07:50:08,51.9888114559658,4.38998411696078,0,,,-3.837215345888,0.328084,0,0.0226994101752,0.041024935696,24,5,0,0,0,0,0.0226994101752,0,0,0,30.1, 1.3, -0.1,,,0,0,1024,1024,1024,1024,0,0,0,0,26.9,0,0,86,4.017,4.007,4.011,0,0,0,0,87.8,-3.837215345888,0,41,Motors_Started,
1200,2026-05-28 07:50:08,51.988811456445,4.38998427464507,0,,,-3.837215345888,0.328084,0,0.055977035912,0.076453742604,24,5,12.042,0,0,0,0.055977035912,0,0,0,30.1, 1.3, -0.1,,,0,0,1024,1024,1024,1024,0,0,0,0,26.9,0,0,86,4.017,4.007,4.011,0,0,0,3.012,87.8,-3.837215345888,0,41,Motors_Started,
1300,2026-05-28 07:50:08,51.9888114610899,4.38998429706039,0,,,-3.837215345888,0.328084,0,0.061265421908,0.081767391068,25,5,12.042,0,0,0,0.061265421908,0,0,0,30.1, 1.3, -0.1,,,0,0,1024,1024,1024,1024,0,0,0,0,26.9,0,0,86,4.017,4.007,4.011,0,0,0,3.012,87.8,-3.837215345888,0,41,Motors_Started,
