block,range_m,radial_velocity_mps,angle_deg
121,2.548828125,-0.43272000177242115,-45.0
125,0.56640625,-0.14424000059080705,-53.0
126,2.548828125,-0.43272000177242115,-18.0
127,2.548828125,-0.43272000177242115,-19.0
128,2.548828125,-0.43272000177242115,-13.0
129,2.548828125,-0.43272000177242115,43.0
130,2.548828125,-0.43272000177242115,43.0
132,2.1240234375,0.21636000088621057,-28.0
133,2.548828125,0.21636000088621057,-31.0
134,2.265625,-0.21636000088621057,-27.0
135,2.548828125,-0.43272000177242115,43.0
136,1.2744140625,0.21636000088621057,-17.0
138,2.0081676136363638,-0.17702181890689958,36.0
139,1.5104166666666667,-0.2884800011816141,-16.0
140,0.0,0.6490800026586317,-16.0
140,1.69921875,-0.5409000022155265,-19.0
141,1.69921875,-0.36060000147701765,44.0
142,1.2744140625,-0.2163600008862106,-29.0
143,1.69921875,-0.1730880007089685,-60.0
144,1.91162109375,-0.1081800004431053,-3.0
145,1.69921875,-9.25185853854297e-18,43.0
146,1.91162109375,-0.10818000044310529,-4.0
147,1.2744140625,0.13522500055388165,17.0
148,1.91162109375,0.10818000044310529,36.0
149,1.1328125,0.21636000088621057,13.0
150,1.359375,0.30290400124069483,2.0
151,0.0,-0.6490800026586317,-11.0
151,1.69921875,0.5409000022155265,12.0
152,1.2744140625,0.21636000088621057,2.0
153,1.91162109375,0.45976500188319747,-33.0
154,1.69921875,0.3399942871069023,16.0
155,1.91162109375,0.6220350025478554,14.0
156,2.548828125,0.5409000022155265,-30.0
157,2.37890625,0.6923520028358738,15.0
158,1.91162109375,0.5409000022155265,15.0
159,1.416015625,0.6130200025109299,-24.0
160,1.91162109375,-0.1081800004431053,-3.0
161,2.1847098214285716,0.43272000177242115,-19.0
162,1.69921875,-7.93016446160826e-18,-13.0
163,2.1847098214285716,0.18545142933103764,36.0
164,1.69921875,0.21636000088621057,45.0
165,3.1556919642857144,0.3709028586620753,-12.0
166,2.1847098214285716,0.3709028586620753,35.0
167,2.548828125,0.5048400020678246,-15.0
168,1.91162109375,0.45976500188319747,-43.0
169,1.69921875,0.21636000088621057,-42.0
170,1.69921875,0.43272000177242115,68.0
171,1.982421875,0.14424000059080705,-43.0
172,2.548828125,0.43272000177242115,-66.0
173,2.37890625,0.08654400035448423,68.0
174,3.3984375,-0.43272000177242115,9.0
177,2.71875,-0.2163600008862106,74.0
178,2.548828125,0.43272000177242115,-43.0
179,3.05859375,-0.5625360023041475,-21.0
180,2.0390625,-0.5192640021269054,-4.0
181,2.548828125,-0.5949900024370791,-5.0
182,0.0,0.8654400035448423,-20.0
182,2.548828125,-0.8654400035448423,-16.0
183,2.548828125,-0.757260003101737,-12.0
185,0.849609375,0.0,-15.0
189,2.548828125,0.43272000177242115,9.0
192,2.548828125,0.43272000177242115,-44.0
211,11.044921875,1.9472400079758954,-4.0
212,11.89453125,2.596320010634527,6.0
213,11.89453125,2.596320010634527,14.0
220,0.0,-0.8654400035448423,-28.0
220,1.69921875,0.9272571466551879,-20.0
221,0.33984375,-1.8606960076214107,-6.0
221,1.5447443181818181,1.8685636440172728,-13.0
222,0.4248046875,-2.8126800115207375,-1.0
222,1.91162109375,2.839725011631514,0.0
223,0.849609375,-3.245400013293159,-2.0
223,2.0390625,3.331944013647643,6.0
224,0.0,-3.461760014179369,-4.0
224,2.548828125,3.4617600141793696,12.0
225,0.0,-3.461760014179369,-23.0
225,2.548828125,3.461760014179369,15.0
226,0.0,-3.353580013736264,-20.0
226,3.05859375,3.3752160138248852,18.0
227,3.3984375,3.245400013293159,26.0
229,0.849609375,0.0,-44.0
234,1.69921875,-0.43272000177242115,-29.0
235,1.69921875,0.43272000177242115,-32.0
242,1.69921875,-0.43272000177242115,43.0
247,3.3984375,0.43272000177242115,-40.0
249,2.548828125,-0.21636000088621057,-44.0
250,2.548828125,0.43272000177242115,-32.0
251,2.548828125,-0.21636000088621057,-30.0
252,2.548828125,0.43272000177242115,-32.0
254,2.548828125,-0.14424000059080708,14.0
255,2.548828125,0.43272000177242115,-12.0
257,2.265625,0.14424000059080705,43.0
258,2.548828125,0.43272000177242115,-31.0
259,1.69921875,-0.21636000088621057,35.0
260,2.1240234375,0.0,16.0
261,1.69921875,0.07212000029540351,36.0
262,2.548828125,0.14424000059080705,14.0
263,2.548828125,0.43272000177242115,44.0
264,2.548828125,0.43272000177242115,-29.0
265,2.548828125,-0.10818000044310531,17.0
266,2.548828125,-0.10818000044310531,14.0
267,2.548828125,-0.10818000044310531,15.0
268,1.69921875,-0.6490800026586317,43.0
268,1.69921875,0.43272000177242115,43.0
269,2.265625,0.21636000088621057,-33.0
270,2.83203125,-0.07212000029540352,-13.0
271,2.37890625,-0.12981600053172637,-4.0
272,0.849609375,-0.6490800026586317,-6.0
272,1.2744140625,0.48681000199397384,-11.0
273,0.0,-0.9736200039879475,-2.0
273,0.849609375,0.9736200039879476,-2.0
274,0.56640625,0.3606000014770176,-45.0
275,2.548828125,0.43272000177242115,42.0
276,2.548828125,-0.10818000044310531,-14.0
277,1.69921875,0.43272000177242115,-14.0
278,2.548828125,-0.43272000177242115,-16.0
279,1.69921875,-0.21636000088621057,35.0
280,1.2137276785714286,-0.1545428577758647,65.0
283,1.69921875,0.3245400013293159,-16.0
284,2.548828125,0.4327200017724212,42.0
285,2.548828125,-0.21636000088621057,-26.0
286,2.548828125,-0.10818000044310531,18.0
287,1.69921875,0.43272000177242115,36.0
293,1.69921875,-0.43272000177242115,-16.0
297,2.265625,-0.21636000088621057,-19.0
298,1.982421875,-1.850371707708594e-17,17.0
299,2.265625,-0.07212000029540351,16.0
300,1.69921875,-0.43272000177242115,-33.0
301,2.548828125,0.1081800004431053,15.0
302,2.548828125,0.1081800004431053,3.0
303,1.69921875,0.1081800004431053,36.0
313,2.548828125,0.43272000177242115,-32.0
317,3.3984375,0.3245400013293158,-10.0
347,1.69921875,0.43272000177242115,17.0
348,1.69921875,-0.6490800026586317,9.0
348,1.69921875,0.43272000177242115,9.0
351,2.548828125,0.43272000177242115,7.0
352,2.548828125,-0.10818000044310531,8.0
353,1.69921875,-0.6490800026586317,7.0
353,1.69921875,0.43272000177242115,7.0
354,2.265625,0.07212000029540351,7.0
358,2.548828125,-0.6490800026586317,10.0
370,1.69921875,0.43272000177242115,-31.0
372,2.548828125,0.43272000177242115,-5.0
373,3.3984375,-0.6490800026586317,1.0
374,1.69921875,0.43272000177242115,7.0
375,1.69921875,-0.6490800026586317,15.0
376,2.265625,-0.28848000118161415,-31.0
380,0.0,2.596320010634527,-28.0
380,2.0390625,-2.509776010280043,-21.0
381,0.0,1.7308800070896846,-7.0
381,2.1847098214285716,-1.7308800070896846,-12.0
382,1.69921875,-1.019982861320707,0.0
383,1.3216145833333333,-0.12020000049233921,6.0
384,1.69921875,0.1730880007089685,15.0
385,0.0,-0.8654400035448423,-26.0
385,2.0390625,0.778896003190358,20.0
407,1.69921875,-1.7308800070896846,-4.0
430,2.265625,-0.07212000029540351,-20.0
431,1.69921875,0.6490800026586317,-4.0
431,1.69921875,-0.43272000177242115,-4.0
432,1.69921875,0.030908571555172928,35.0
433,1.69921875,-0.09272571466551884,3.0
434,1.91162109375,-0.1081800004431053,15.0
435,2.548828125,0.43272000177242115,-33.0
436,2.9129464285714284,0.1545428577758647,-45.0
437,2.548828125,0.0,42.0
438,2.548828125,0.21636000088621057,34.0
439,2.9736328125,0.3786300015508685,-17.0
440,2.548828125,0.5409000022155265,42.0
441,1.91162109375,0.4327200017724212,-19.0
442,2.9129464285714284,0.4636285733275941,-14.0
443,2.548828125,0.5048400020678246,-22.0
444,3.05859375,0.5192640021269054,65.0
445,2.548828125,0.36060000147701765,43.0
446,1.69921875,0.1545428577758647,34.0
447,2.1847098214285716,0.2472685724413835,-29.0
448,1.91162109375,0.1081800004431053,35.0
449,1.69921875,0.14424000059080705,7.0
450,1.91162109375,-0.1081800004431053,3.0
451,2.548828125,0.8654400035448423,42.0
452,2.83203125,0.7212000029540353,-39.0
453,2.670200892857143,0.494537144882767,-45.0
454,1.982421875,-0.14424000059080708,-4.0
455,2.548828125,-0.1081800004431053,42.0
456,2.1847098214285716,0.09272571466551881,36.0
457,1.91162109375,0.1081800004431053,-17.0
458,2.548828125,0.3245400013293159,42.0
459,2.548828125,0.43272000177242115,-41.0
467,2.548828125,0.5409000022155265,-44.0
470,3.3984375,0.21636000088621057,-37.0
471,3.3984375,0.21636000088621057,-38.0
472,3.3984375,0.43272000177242115,-39.0
478,3.05859375,0.043272000177242115,-9.0
479,3.3984375,0.43272000177242115,-34.0
480,2.548828125,0.43272000177242115,34.0
481,3.3984375,0.48681000199397384,-37.0
482,3.05859375,0.5625360023041475,-9.0
483,3.3984375,0.6490800026586317,-34.0
484,3.3984375,0.6490800026586317,-39.0
485,4.248046875,0.43272000177242115,-39.0
486,3.05859375,0.6058080024813897,-44.0
487,3.3984375,0.8654400035448423,-41.0
488,3.3984375,0.43272000177242115,-38.0
489,3.3984375,0.21636000088621057,-35.0
516,4.248046875,-6.490800026586318,27.0
517,3.3984375,-6.490800026586318,12.0
518,3.73828125,-6.404256026231835,9.0
519,3.3984375,-6.490800026586318,7.0
520,0.0,6.490800026586318,-4.0
520,3.3984375,-6.490800026586318,2.0
521,0.0,6.598980027029423,-2.0
521,2.9129464285714284,-6.521708598141491,1.0
522,0.0,6.598980027029423,-3.0
522,1.8880208333333333,-6.635040027177125,-3.0
523,0.849609375,6.490800026586318,-4.0
523,1.69921875,-6.436710026364766,-6.0
524,1.69921875,-6.101352024991138,-12.0
524,0.56640625,6.166260025257003,-9.0
525,1.69921875,-5.149368021091812,-20.0
525,0.33984375,5.10609602091457,-28.0
526,1.69921875,-4.002660016394896,-32.0
527,0.0,3.245400013293159,-41.0
527,1.69921875,-3.2994900135147116,-41.0
555,0.4248046875,0.16227000066465794,-16.0
556,0.0,-0.8654400035448423,-13.0
556,1.359375,0.7356240030131159,-14.0
557,0.0,-1.0818000044310527,-8.0
557,1.69921875,1.0277100042095002,-3.0
558,0.0,-1.2981600053172635,-4.0
558,1.48681640625,1.1088450045418292,-30.0
559,2.265625,1.8030000073850883,-34.0
560,0.0,-1.9472400079758951,-29.0
560,2.1847098214285716,1.9472400079758951,-25.0
561,0.56640625,-2.235720009157509,-28.0
561,2.0390625,2.25014400921659,-20.0
562,1.69921875,-6.058080024813897,-16.0
562,0.4248046875,-2.434050009969869,-25.0
562,1.69921875,2.3366880095710743,-16.0
563,2.548828125,3.3535800137362646,-14.0
563,0.0,-2.596320010634527,-20.0
563,2.1847098214285716,2.596320010634527,-14.0
564,2.265625,4.038720016542597,-14.0
564,0.6796875,-2.8126800115207375,-19.0
564,1.91162109375,2.785635011409961,-14.0
565,2.1240234375,1.4604300059819213,-14.0
565,0.0,-2.920860011963843,-13.0
565,2.548828125,2.9424960120524646,-14.0
565,1.69921875,7.356240030131159,-14.0
566,1.69921875,-12.548880051400214,-13.0
566,0.33984375,-3.158856012938675,-10.0
566,2.548828125,3.1588560129386747,-13.0
566,3.05859375,7.442784030485643,-13.0
567,2.548828125,-0.5409000022155258,-11.0
567,1.69921875,-6.995640028654141,-11.0
567,0.0,-3.245400013293159,-7.0
567,3.2096354166666665,3.3175200135885623,-10.0
567,3.3984375,7.57260003101737,-10.0
568,3.3984375,-10.385280042538108,-11.0
568,0.4248046875,-3.624030014844027,-6.0
568,3.2096354166666665,3.6060000147701765,-11.0
569,3.3984375,10.818000044310528,-8.0
569,0.849609375,-3.7863000155086857,-5.0
569,3.3984375,0.7031700028801844,-8.0
569,3.3984375,3.832662872841445,-8.0
570,3.3984375,-4.832040019792035,-7.0
570,3.3984375,-6.707160027472528,-7.0
570,0.56640625,-3.8223600156563875,-4.0
570,3.3984375,3.894480015951791,-7.0
571,3.05859375,-0.8221680033675998,-9.0
571,3.3984375,-1.352250005538816,-9.0
571,3.5529119318181817,4.032163652879378,-9.0
572,4.248046875,-13.630680055831265,-7.0
572,3.96484375,-8.726520035743826,-7.0
572,3.3984375,-5.51718002259837,-7.0
572,3.3984375,-1.406340005760369,-7.0
572,4.248046875,4.164930017059554,-7.0
572,4.248046875,8.546220035005316,-7.0
573,4.369419642857143,-4.82173716260698,-5.0
573,2.1240234375,-4.381290017945764,-5.0
573,4.7578125,4.435380018167317,-5.0
574,3.5872395833333335,-2.812680011520738,-5.0
574,3.96484375,-13.342200054649652,-5.0
574,4.7578125,4.651740019053528,-4.0
575,3.7760416666666665,-3.918520016050257,-3.0
575,5.09765625,4.933008020205602,-3.0
575,5.09765625,9.519840038993266,-3.0
576,4.814453125,-7.788960031903581,-3.0
576,1.69921875,-5.192640021269054,-4.0
576,4.6728515625,0.48681000199397384,-3.0
576,5.286458333333333,5.1205200209736494,-3.0
576,5.09765625,9.736200039879476,-3.0
577,5.09765625,-0.9581657182103613,-3.0
577,5.09765625,0.7031700028801844,-3.0
577,5.09765625,5.354910021933712,-3.0
578,4.612165178571429,-1.0818000044310534,-2.0
578,5.947265625,1.189980004874158,-2.0
578,5.947265625,5.538816022686991,-2.0
579,5.947265625,-6.166260025257002,-2.0
579,5.947265625,-3.2454000132931586,-2.0
579,6.58447265625,5.81467502381691,-1.0
580,6.796875,1.2981600053172635,-1.0
580,6.45703125,-13.327776054590572,-1.0
580,6.642400568181818,5.979403660855275,-1.0
581,6.3720703125,0.16227000066465802,0.0
581,6.796875,6.166260025257002,0.0
582,6.419270833333333,0.5048400020678248,0.0
582,7.36328125,6.370600026093978,0.0
583,7.646484375,-5.841720023927685,0.0
583,7.36328125,6.394640026192446,0.0
584,2.83203125,-4.543560018610423,0.0
584,8.0712890625,6.54489002680787,-1.0
585,7.9296875,4.687800019201229,-1.0
585,8.28369140625,6.680115027361752,-1.0
586,8.49609375,-3.948570016173343,-1.0
586,8.8359375,6.815340027915633,-1.0
587,9.0625,1.2981600053172633,-1.0
587,8.8359375,7.031700028801843,-1.0
588,8.49609375,2.3799600097483165,-2.0
588,9.709821428571429,7.139880029244949,0.0
589,9.7705078125,2.0554200084190004,0.0
589,9.85546875,7.269696029776675,0.0
590,9.62890625,1.514520006203474,0.0
590,10.438058035714286,7.541691459462198,0.0
591,11.044921875,2.596320010634527,0.0
591,10.384114583333334,7.644720031312774,0.0
592,10.76171875,1.370280005612667,1.0
592,11.611328125,7.933200032494388,-1.0
593,11.89453125,8.113500033232897,-1.0
594,12.177734375,8.1856200335283,-1.0
595,12.744140625,8.351496034207727,-1.0
596,13.404947916666666,8.582280035153019,0.0
597,13.59375,8.685308607003593,1.0
598,13.876953125,8.690460035596123,1.0
599,14.953125,8.784216035980148,-1.0
600,15.29296875,9.025302894110498,-1.0
601,15.7177734375,9.033030036999293,-1.0
602,16.142578125,9.17366403757533,0.0
603,16.9921875,9.303480038107056,-4.0
604,17.180989583333332,9.37560003840246,-2.0
605,17.841796875,9.447720038697861,-1.0
606,18.502604166666668,9.59196003928867,3.0
607,18.69140625,9.736200039879476,1.0
608,19.03125,9.82274404023396,1.0
609,20.05078125,9.866016040411202,1.0
610,20.390625,9.952560040765686,1.0
611,20.60302734375,10.14187504154112,2.0
612,22.08984375,10.168920041651896,-4.0
613,22.08984375,10.277100042095002,-3.0
614,22.939453125,10.385280042538108,-3.0
615,23.44921875,10.515096043069834,2.0
616,23.7890625,10.601640043424318,2.0
617,24.638671875,10.601640043424318,0.0
618,25.48828125,10.818000044310528,3.0
619,25.48828125,10.818000044310528,-1.0
620,26.337890625,10.926180044753634,23.0
621,26.337890625,11.03436004519674,9.0
622,27.75390625,11.106480045492143,5.0
623,28.037109375,11.25072004608295,12.0
624,28.88671875,11.304810046304503,2.0
625,29.736328125,11.46708004696916,-19.0
627,30.92578125,11.596896047500888,2.0
629,32.28515625,11.899800048741582,2.0
630,33.134765625,11.899800048741582,7.0
631,33.134765625,12.007980049184688,0.0
632,33.984375,12.116160049627794,-1.0
633,34.833984375,12.116160049627794,2.0
634,35.68359375,12.332520050514002,5.0
638,38.232421875,12.765240052286423,-4.0
639,39.931640625,12.765240052286423,-3.0
640,39.931640625,12.765240052286423,0.0
641,40.78125,12.765240052286423,-1.0
642,40.78125,12.765240052286423,1.0
643,42.48046875,12.981600053172636,13.0
644,42.48046875,12.981600053172636,-2.0
645,43.61328125,13.053720053468039,-1.0
646,44.1796875,13.197960054058845,-2.0
649,2.548828125,2.1636000088621055,10.0
650,23.7890625,5.084460020825949,-6.0
650,2.548828125,3.0290400124069485,1.0
651,0.0,-3.0290400124069485,-2.0
651,2.71875,2.9857680122297063,-5.0
652,0.0,-3.0290400124069485,-7.0
652,3.3984375,3.0290400124069485,-13.0
653,49.27734375,13.630680055831265,-10.0
654,50.126953125,13.630680055831265,-9.0
655,51.826171875,-13.847040056717477,-4.0
656,50.9765625,-13.847040056717477,-5.0
657,52.67578125,-13.847040056717477,-5.0
662,56.07421875,-13.630680055831265,11.0
665,58.623046875,-13.630680055831265,20.0
733,3.3984375,-0.6490800026586317,-22.0
784,5.947265625,-6.058080024813897,64.0
787,1.69921875,-0.6490800026586317,-12.0
797,3.3984375,-3.8944800159517907,11.0
798,1.69921875,-3.8944800159517907,14.0
803,0.0,1.5145200062034743,-3.0
803,2.427455357142857,-1.359977148427609,-9.0
804,6.796875,0.6490800026586317,-1.0
805,5.947265625,1.0818000044310527,58.0
806,6.796875,1.5145200062034743,10.0
807,6.23046875,2.0193600082712986,5.0
808,7.646484375,2.596320010634527,11.0
809,6.796875,3.0290400124069485,13.0
819,5.09765625,2.3799600097483165,-23.0
822,5.947265625,3.461760014179369,2.0
823,6.796875,3.8944800159517907,1.0
826,6.796875,4.543560018610423,-49.0
913,3.3984375,1.2981600053172635,-6.0
957,7.646484375,-11.683440047855372,12.0
958,69.66796875,13.630680055831265,13.0
959,7.646484375,-9.952560040765686,2.0
971,60.322265625,12.548880051400214,0.0
972,58.623046875,12.548880051400214,3.0
973,64.5703125,5.94990002437079,-19.0
975,56.07421875,12.332520050514002,-29.0
985,47.578125,11.250720046082952,0.0
986,46.728515625,11.03436004519674,0.0
987,45.029296875,10.818000044310528,-1.0
990,42.48046875,10.493460042981212,1.0
994,38.232421875,10.168920041651896,0.0
996,36.533203125,10.168920041651896,4.0
997,35.68359375,10.223010041873449,4.0
998,34.32421875,10.25546404200638,2.0
999,33.984375,10.331190042316555,4.0
1000,32.28515625,10.601640043424318,-1.0
1001,31.71875,10.529520043128914,0.0
1002,30.5859375,10.601640043424318,1.0
1003,29.736328125,10.709820043867424,4.0
1004,28.88671875,10.709820043867424,4.0
1005,28.037109375,10.709820043867424,3.0
1006,27.1875,10.818000044310528,6.0
1007,25.48828125,10.818000044310528,0.0
1008,25.48828125,10.818000044310528,3.0
1009,23.7890625,11.03436004519674,18.0
1010,22.939453125,11.03436004519674,27.0
1014,19.541015625,11.142540045639844,13.0
1015,18.3515625,11.120904045551223,12.0
1016,17.33203125,11.120904045551223,-1.0
1017,16.9921875,11.088450045418291,3.0
1018,15.29296875,11.142540045639842,2.0
1019,15.29296875,11.188902902972602,1.0
1020,13.876953125,11.214660045935247,4.0
1021,13.02734375,11.178600045787547,5.0
1022,11.89453125,11.250720046082952,5.0
1023,11.5546875,11.337264046437435,-5.0
1024,10.1953125,11.46708004696916,5.0
1025,9.85546875,11.596896047500888,6.0
1058,71.3671875,-0.43272000177242115,-16.0
1064,1.69921875,2.8126800115207375,-31.0
1092,72.216796875,-0.43272000177242115,-75.0
1126,2.548828125,0.21636000088621057,-34.0
1137,71.3671875,0.43272000177242115,-8.0
1269,3.3984375,-0.5409000022155265,1.0
1271,1.69921875,0.21636000088621057,-5.0
1272,1.69921875,-3.461760014179369,-3.0
1272,2.37890625,0.2163600008862106,-3.0
1273,1.69921875,0.14424000059080705,-4.0
1274,1.2744140625,0.21636000088621057,-2.0
1275,2.548828125,0.43272000177242115,-4.0
1278,2.1847098214285716,0.09272571466551881,-33.0
1279,1.91162109375,0.1081800004431053,-2.0
1280,1.69921875,0.14424000059080705,2.0
1281,1.69921875,0.3786300015508685,0.0
1282,2.548828125,0.5409000022155265,8.0
1283,2.548828125,0.6490800026586317,8.0
1290,3.3984375,2.3799600097483165,28.0
1291,3.3984375,2.3799600097483165,-11.0
1292,3.3984375,2.4417771528586623,7.0
1293,0.0,-2.596320010634527,-3.0
1293,3.3984375,2.6504100108560795,7.0
1294,2.548828125,-2.596320010634527,5.0
1294,3.73828125,2.704500011077632,7.0
1295,0.0,-2.8126800115207375,-4.0
1295,3.73828125,2.9208600119638435,7.0
1296,3.3984375,1.7308800070896844,7.0
1296,4.248046875,3.0290400124069485,7.0
1297,5.09765625,6.274440025700107,6.0
1297,4.248046875,-1.4063400057603688,7.0
1297,4.248046875,3.2454000132931586,7.0
1298,4.248046875,-2.1636000088621055,3.0
1298,4.7578125,3.353580013736264,5.0
1298,5.09765625,7.788960031903581,5.0
1299,5.09765625,7.5726000310173704,4.0
1299,4.908854166666667,3.389640013883966,4.0
1300,5.09765625,-1.7763568394002506e-16,5.0
1300,5.09765625,3.4617600141793696,5.0
1301,2.548828125,1.9472400079758951,7.0
1301,5.09765625,3.4617600141793696,5.0
1302,5.09765625,1.9905120081531371,4.0
1302,5.31005859375,3.4888050142901457,4.0
1303,5.09765625,1.9833000081235974,7.0
1303,5.09765625,3.6240300148440276,7.0
1304,5.77734375,2.3799600097483165,5.0
1304,5.583147321428571,3.6781200150655806,5.0
1305,4.248046875,-3.3535800137362637,7.0
1305,5.947265625,3.8079360155973063,5.0
1306,5.09765625,5.571270022819922,5.0
1306,5.6640625,-1.8751200076804917,5.0
1306,5.947265625,3.8223600156563875,5.0
1307,5.947265625,3.2454000132931586,5.0
1307,6.3720703125,3.948570016173343,6.0
1308,6.642400568181818,4.032163652879378,6.0
1308,6.23046875,10.02468004106109,6.0
1309,7.2216796875,3.7322100152871327,6.0
1309,6.796875,4.067568016660759,6.0
1310,0.0,-4.110840016838001,-2.0
1310,7.2216796875,4.056750016616448,6.0
1311,0.0,-4.110840016838001,-1.0
1311,7.2216796875,4.056750016616448,6.0
1312,5.09765625,-1.2260400050218598,5.0
1312,7.646484375,4.110840016838001,6.0
1313,4.248046875,2.5963200106345274,-19.0
1313,7.4765625,4.067568016660759,5.0
1314,7.9296875,4.207000017231873,3.0
1315,8.15625,4.219020017281106,3.0
1316,8.49609375,1.2981600053172635,3.0
1316,8.341619318181818,4.248523653765589,3.0
1317,8.49609375,2.8848000118161408,2.0
1317,8.70849609375,4.300155017613435,2.0
1318,8.9208984375,4.327200017724211,2.0
1318,8.779296875,4.2911400175765095,2.0
1319,9.17578125,3.7213920152428215,2.0
1319,9.345703125,4.327200017724211,2.0
1320,8.49609375,-1.0818000044310527,2.0
1320,9.345703125,4.327200017724211,2.0
1320,10.1953125,8.438040034562212,4.0
1321,10.1953125,8.438040034562212,4.0
1321,9.709821428571429,4.327200017724211,4.0
1322,9.345703125,8.438040034562212,2.0
1322,9.85546875,4.435380018167317,4.0
1323,10.1953125,4.543560018610423,4.0
1324,10.1953125,8.438040034562212,5.0
1324,10.384114583333334,4.399320018019615,5.0
1325,10.1953125,0.43272000177242115,5.0
1325,10.40771484375,4.516515018499646,5.0
1326,10.53515625,4.4570160182559375,4.0
1327,11.044921875,8.654400035448422,5.0
1327,11.044921875,4.543560018610423,5.0
1328,10.1953125,-0.8654400035448423,5.0
1328,11.5546875,4.4570160182559375,3.0
1329,11.89453125,0.43272000177242115,2.0
1329,11.89453125,4.543560018610423,2.0
1330,11.5546875,4.630104018964907,3.0
1331,12.10693359375,4.570605018721198,3.0
1332,12.744140625,8.654400035448422,3.0
1332,12.380022321428571,4.543560018610422,3.0
1333,12.744140625,0.43272000177242115,3.0
1333,12.622767857142858,4.574468590165595,3.0
1334,13.404947916666666,4.615680018905826,4.0
1335,12.744140625,0.6490800026586317,3.0
1335,13.25390625,4.651740019053528,4.0
1336,13.25390625,4.651740019053528,3.0
1337,13.782552083333334,4.615680018905826,4.0
1338,13.782552083333334,4.615680018905826,4.0
1339,13.59375,1.0818000044310527,4.0
1339,13.80615234375,4.732875019385856,4.0
1340,14.807477678571429,4.729011447941461,4.0
1341,14.953125,4.651740019053528,4.0
1342,15.29296875,1.7308800070896846,4.0
1342,15.08056640625,4.732875019385856,4.0
1343,15.29296875,4.605377161720768,4.0
1344,15.29296875,4.759920019496633,3.0
1345,15.29296875,4.651740019053528,4.0
1346,15.778459821428571,4.759920019496633,4.0
1347,16.142578125,4.543560018610422,4.0
1348,16.9921875,4.651740019053528,3.0
1349,16.142578125,4.651740019053528,4.0
1350,17.33203125,4.630104018964907,3.0
1351,17.33203125,4.630104018964907,4.0
1352,17.33203125,4.630104018964907,4.0
1353,18.69140625,4.759920019496633,8.0
1354,17.841796875,4.651740019053528,3.0
1355,18.69140625,4.70583001927508,4.0
1356,18.69140625,4.70583001927508,4.0
1357,18.69140625,4.759920019496633,5.0
1358,18.69140625,4.651740019053528,7.0
1359,19.2578125,4.687800019201229,5.0
1360,19.541015625,4.651740019053528,5.0
1361,20.390625,4.759920019496633,6.0
1362,20.390625,4.651740019053528,8.0
1363,20.390625,4.651740019053528,7.0
1364,20.390625,4.651740019053528,5.0
1365,21.240234375,4.759920019496633,7.0
1366,21.240234375,4.759920019496633,10.0
1368,21.75,4.6733760191421485,26.0
1369,22.08984375,4.70583001927508,9.0
1370,22.08984375,4.759920019496633,24.0
1371,22.939453125,4.759920019496633,25.0
1372,22.08984375,4.759920019496633,25.0
1373,22.939453125,4.759920019496633,23.0
1374,23.7890625,4.759920019496633,21.0
1375,23.7890625,4.759920019496633,19.0
1376,23.7890625,4.759920019496633,21.0
1377,23.7890625,4.759920019496633,21.0
1378,24.638671875,4.759920019496633,18.0
1379,25.48828125,4.759920019496633,7.0
1380,24.638671875,4.759920019496633,21.0
1381,25.48828125,4.759920019496633,15.0
1382,25.48828125,4.759920019496633,15.0
1383,26.337890625,4.759920019496633,14.0
1385,26.337890625,4.759920019496633,12.0
1386,18.69140625,3.0290400124069485,7.0
1387,27.1875,4.759920019496633,6.0
1388,27.1875,4.759920019496633,8.0
1389,27.1875,4.759920019496633,9.0
1390,28.037109375,4.759920019496633,6.0
1391,27.1875,4.759920019496633,8.0
1392,28.037109375,4.759920019496633,-39.0
1395,28.88671875,4.759920019496633,23.0
1396,28.88671875,4.759920019496633,17.0
1397,29.736328125,4.759920019496633,18.0
1399,30.5859375,4.759920019496633,10.0
1400,29.736328125,4.759920019496633,5.0
1402,30.5859375,4.759920019496633,16.0
1404,30.5859375,4.759920019496633,11.0
1411,33.134765625,4.868100019939738,5.0
1412,33.41796875,4.832040019792037,-6.0
1413,33.984375,4.868100019939738,7.0
1414,33.984375,4.976280020382843,5.0
