block,range_m,radial_velocity_mps,angle_deg,doa_cluster_id,n_angle_bins
220,1.69921875,0.9272571466551879,-20.0,-1.0,1.0
221,1.5447443181818181,1.8685636440172728,-12.5,-1.0,2.0
222,1.91162109375,2.839725011631514,0.0,0.0,3.0
223,2.0390625,3.331944013647643,6.5,-1.0,2.0
226,3.05859375,3.3752160138248852,18.0,0.0,3.0
227,3.3984375,3.245400013293159,27.0,0.0,3.0
274,0.56640625,0.3606000014770176,-45.0,0.0,3.0
274,0.56640625,0.3606000014770176,45.0,1.0,3.0
380,2.0390625,-2.509776010280043,-21.0,0.0,3.0
381,2.1847098214285716,-1.7308800070896846,-12.0,0.0,3.0
382,1.69921875,-1.019982861320707,0.0,0.0,3.0
459,2.548828125,0.43272000177242115,-41.0,0.0,3.0
479,3.3984375,0.43272000177242115,-34.0,0.0,3.0
484,3.3984375,0.6490800026586317,-38.5,-1.0,2.0
487,3.3984375,0.8654400035448423,-41.0,-1.0,1.0
516,4.248046875,-6.490800026586318,28.0,-1.0,1.0
518,3.73828125,-6.404256026231835,9.5,-1.0,2.0
519,3.3984375,-6.490800026586318,7.0,0.0,3.0
521,2.9129464285714284,-6.521708598141491,0.5,-1.0,2.0
522,1.8880208333333333,-6.635040027177125,-3.0,0.0,3.0
523,1.69921875,-6.436710026364766,-6.0,0.0,3.0
526,1.69921875,-4.002660016394896,-32.0,0.0,3.0
527,0.0,3.245400013293159,-40.0,0.0,3.0
527,0.0,3.245400013293159,40.0,1.0,3.0
527,1.69921875,-3.2994900135147116,41.5,-1.0,2.0
527,1.69921875,-3.2994900135147116,-41.0,0.0,3.0
559,2.265625,1.8030000073850883,-33.5,0.0,4.0
560,2.1847098214285716,1.9472400079758951,-25.0,0.0,3.0
561,2.0390625,2.25014400921659,-20.0,0.0,3.0
562,1.69921875,-6.058080024813897,-16.0,-1.0,1.0
562,1.69921875,2.3366880095710743,-16.0,-1.0,1.0
567,3.2096354166666665,3.3175200135885623,-10.5,-1.0,2.0
567,3.3984375,7.57260003101737,-10.5,-1.0,2.0
568,3.3984375,-10.385280042538108,-11.5,-1.0,2.0
568,3.2096354166666665,3.6060000147701765,-11.5,-1.0,2.0
569,3.3984375,10.818000044310528,-8.0,0.0,3.0
569,3.3984375,0.7031700028801844,-8.0,0.0,3.0
569,3.3984375,3.832662872841445,-8.0,0.0,3.0
570,3.3984375,-4.832040019792035,-7.0,0.0,3.0
570,3.3984375,-6.707160027472528,-7.0,0.0,3.0
570,3.3984375,3.894480015951791,-7.0,0.0,3.0
571,3.05859375,-0.8221680033675998,-9.0,0.0,3.0
571,3.3984375,-1.352250005538816,-9.0,0.0,3.0
571,3.5529119318181817,4.032163652879378,-9.0,0.0,3.0
572,4.248046875,-13.630680055831265,-7.5,-1.0,2.0
572,3.96484375,-8.726520035743826,-7.5,-1.0,2.0
572,3.3984375,-5.51718002259837,-7.5,-1.0,2.0
572,3.3984375,-1.406340005760369,-7.5,-1.0,2.0
572,4.248046875,4.164930017059554,-7.5,-1.0,2.0
572,4.248046875,8.546220035005316,-7.5,-1.0,2.0
