block,x_position_m,y_position_m,range_m,radial_velocity_mps,angle_deg
220,-0.5811670404166637,1.5967433204760553,1.69921875,0.9272571466551879,-20.0
221,-0.33434386386035064,1.5081277098621129,1.5447443181818181,1.8685636440172728,-12.5
222,0.0,1.91162109375,1.91162109375,2.839725011631514,0.0
223,0.2308284280736223,2.0259551119655415,2.0390625,3.331944013647643,6.5
226,0.9451574476389992,2.9088955166371298,3.05859375,3.3752160138248852,18.0
227,1.542858338958616,3.0280299845464067,3.3984375,3.245400013293159,27.0
274,-0.40050970028144295,0.40050970028144295,0.56640625,0.3606000014770176,-45.0
274,0.40050970028144295,0.40050970028144295,0.56640625,0.3606000014770176,45.0
380,-0.7307346471197138,1.9036288384044504,2.0390625,-2.509776010280043,-21.0
381,-0.4542267129193794,2.136968670129938,2.1847098214285716,-1.7308800070896846,-12.0
382,0.0,1.69921875,1.69921875,-1.019982861320707,0.0
459,-1.6721817047511953,1.923625004278745,2.548828125,0.43272000177242115,-41.0
479,-1.9003821328888664,2.8174323754800246,3.3984375,0.43272000177242115,-34.0
484,-2.1155770854481606,2.6596449080531253,3.3984375,0.6490800026586317,-38.5
487,-2.2295756063349272,2.564833339038327,3.3984375,0.8654400035448423,-41.0
516,1.9943372051939698,3.7508027626331373,4.248046875,-6.490800026586318,28.0
518,0.6169943703463614,3.6870129713716033,3.73828125,-6.404256026231835,9.5
519,0.41416534672843086,3.373106062218555,3.3984375,-6.490800026586318,7.0
521,0.02541993041379014,2.912835512497195,2.9129464285714284,-6.521708598141491,0.5
522,-0.09881137571909969,1.8854333663986094,1.8880208333333333,-6.635040027177125,-3.0
523,-0.17761672469308304,1.6899102518953082,1.69921875,-6.436710026364766,-6.0
526,-0.9004487497712661,1.441019225890802,1.69921875,-4.002660016394896,-32.0
527,-0.0,0.0,0.0,3.245400013293159,-40.0
527,0.0,0.0,0.0,3.245400013293159,40.0
527,1.1259364100540852,1.2726396036844372,1.69921875,-3.2994900135147116,41.5
527,-1.1147878031674636,1.2824166695191634,1.69921875,-3.2994900135147116,-41.0
559,-1.2504822323476317,1.889272565620928,2.265625,1.8030000073850883,-33.5
560,-0.9232982671399769,1.9800195235761635,2.1847098214285716,1.9472400079758951,-25.0
561,-0.6974004484999964,1.9160919845712665,2.0390625,2.25014400921659,-20.0
562,-0.46836816320466657,1.6333938973951903,1.69921875,-6.058080024813897,-16.0
562,-0.46836816320466657,1.6333938973951903,1.69921875,2.3366880095710743,-16.0
567,-0.5849095967944576,3.1558897749285784,3.2096354166666665,3.3175200135885623,-10.5
567,-0.6193160436647199,3.341530349924377,3.3984375,7.57260003101737,-10.5
568,-0.6775394646209436,3.3302128633598507,3.3984375,-10.385280042538108,-11.5
568,-0.6398983832531133,3.1452010376176367,3.2096354166666665,3.6060000147701765,-11.5
569,-0.47297108529397236,3.3653641398639307,3.3984375,10.818000044310528,-8.0
569,-0.47297108529397236,3.3653641398639307,3.3984375,0.7031700028801844,-8.0
569,-0.47297108529397236,3.3653641398639307,3.3984375,3.832662872841445,-8.0
570,-0.41416534672843086,3.373106062218555,3.3984375,-4.832040019792035,-7.0
570,-0.41416534672843086,3.373106062218555,3.3984375,-6.707160027472528,-7.0
570,-0.41416534672843086,3.373106062218555,3.3984375,3.894480015951791,-7.0
571,-0.4784694770566436,3.0209373854921595,3.05859375,-0.8221680033675998,-9.0
571,-0.5316327522851596,3.3565970949912884,3.3984375,-1.352250005538816,-9.0
