block,range_m,radial_velocity_mps,angle_deg,doa_cluster_id,n_angle_bins
569,3.3984375,10.818000044310528,-7.0,-1.0,1.0
569,3.3984375,0.7031700028801844,-7.0,-1.0,1.0
569,3.3984375,3.832662872841445,-7.0,-1.0,1.0
570,3.3984375,-4.832040019792035,-6.5,-1.0,2.0
570,3.3984375,-6.707160027472528,-6.5,-1.0,2.0
570,3.3984375,3.894480015951791,-6.5,-1.0,2.0
571,3.05859375,-0.8221680033675998,-9.0,0.0,3.0
571,3.3984375,-1.352250005538816,-9.0,0.0,3.0
571,3.5529119318181817,4.032163652879378,-9.0,0.0,3.0
573,4.369419642857143,-4.82173716260698,-5.5,0.0,4.0
573,2.1240234375,-4.381290017945764,-5.0,0.0,3.0
573,4.7578125,4.435380018167317,-5.5,0.0,4.0
574,3.5872395833333335,-2.812680011520738,-5.0,0.0,3.0
574,3.96484375,-13.342200054649652,-5.0,0.0,3.0
574,4.7578125,4.651740019053528,-5.0,0.0,3.0
575,3.7760416666666665,-3.918520016050257,-3.0,0.0,3.0
575,5.09765625,4.933008020205602,-4.0,0.0,3.0
575,5.09765625,9.519840038993266,-4.0,0.0,3.0
576,4.814453125,-7.788960031903581,-3.0,0.0,3.0
576,4.6728515625,0.48681000199397384,-3.0,0.0,3.0
576,5.286458333333333,5.1205200209736494,-3.0,0.0,3.0
576,5.09765625,9.736200039879476,-3.0,0.0,3.0
577,5.09765625,-0.9581657182103613,-3.5,-1.0,2.0
577,5.09765625,0.7031700028801844,-3.5,-1.0,2.0
577,5.09765625,5.354910021933712,-3.5,-1.0,2.0
578,4.612165178571429,-1.0818000044310534,-2.5,-1.0,2.0
578,5.947265625,1.189980004874158,-2.5,-1.0,2.0
578,5.947265625,5.538816022686991,-2.5,-1.0,2.0
579,5.947265625,-6.166260025257002,-2.0,0.0,3.0
579,5.947265625,-3.2454000132931586,-2.0,0.0,3.0
579,6.58447265625,5.81467502381691,-1.0,0.0,3.0
580,6.796875,1.2981600053172635,-1.0,0.0,3.0
580,6.45703125,-13.327776054590572,-1.0,0.0,3.0
580,6.642400568181818,5.979403660855275,-1.0,0.0,3.0
581,6.3720703125,0.16227000066465802,-1.0,0.0,3.0
581,6.796875,6.166260025257002,-1.0,0.0,3.0
582,6.419270833333333,0.5048400020678248,-1.0,0.0,3.0
582,7.36328125,6.370600026093978,-1.0,0.0,3.0
583,7.646484375,-5.841720023927685,0.0,0.0,3.0
583,7.36328125,6.394640026192446,0.0,0.0,3.0
584,8.0712890625,6.54489002680787,-1.5,0.0,4.0
585,7.9296875,4.687800019201229,-1.5,0.0,4.0
585,8.28369140625,6.680115027361752,-1.5,0.0,4.0
586,8.49609375,-3.948570016173343,-1.0,0.0,3.0
586,8.8359375,6.815340027915633,-1.0,0.0,3.0
587,9.0625,1.2981600053172633,-1.0,0.0,3.0
587,8.8359375,7.031700028801843,-1.0,0.0,3.0
588,8.49609375,2.3799600097483165,-2.0,0.0,3.0
588,9.709821428571429,7.139880029244949,0.0,0.0,3.0
589,9.7705078125,2.0554200084190004,0.0,0.0,3.0
589,9.85546875,7.269696029776675,0.0,0.0,3.0
590,9.62890625,1.514520006203474,0.0,0.0,3.0
590,10.438058035714286,7.541691459462198,0.0,0.0,3.0
596,13.404947916666666,8.582280035153019,0.0,0.0,3.0
1295,3.73828125,2.9208600119638435,6.0,0.0,3.0
1296,3.3984375,1.7308800070896844,5.5,-1.0,2.0
1296,4.248046875,3.0290400124069485,5.5,-1.0,2.0
1298,4.248046875,-2.1636000088621055,5.0,-1.0,1.0
1299,5.09765625,7.5726000310173704,5.0,-1.0,1.0
1299,4.908854166666667,3.389640013883966,5.0,-1.0,1.0
1300,5.09765625,-1.7763568394002506e-16,4.5,-1.0,2.0
1300,5.09765625,3.4617600141793696,4.5,-1.0,2.0
1305,5.947265625,3.8079360155973063,5.0,-1.0,1.0
1306,5.09765625,5.571270022819922,6.0,-1.0,1.0
1306,5.6640625,-1.8751200076804917,6.0,-1.0,1.0
1306,5.947265625,3.8223600156563875,6.0,-1.0,1.0
1307,5.947265625,3.2454000132931586,5.5,-1.0,2.0
1307,6.3720703125,3.948570016173343,5.5,-1.0,2.0
1308,6.642400568181818,4.032163652879378,6.0,0.0,3.0
1308,6.23046875,10.02468004106109,6.0,0.0,3.0
1309,7.2216796875,3.7322100152871327,5.0,0.0,3.0
1309,6.796875,4.067568016660759,5.0,0.0,3.0
1310,7.2216796875,4.056750016616448,5.5,-1.0,2.0
1311,7.2216796875,4.056750016616448,6.0,-1.0,1.0
1312,5.09765625,-1.2260400050218598,5.5,-1.0,2.0
1312,7.646484375,4.110840016838001,5.5,-1.0,2.0
1314,7.9296875,4.207000017231873,3.0,0.0,3.0
1315,8.15625,4.219020017281106,3.0,0.0,3.0
1316,8.49609375,1.2981600053172635,2.5,-1.0,2.0
1316,8.341619318181818,4.248523653765589,2.5,-1.0,2.0
1317,8.49609375,2.8848000118161408,2.5,-1.0,2.0
1317,8.70849609375,4.300155017613435,2.5,-1.0,2.0
1318,8.9208984375,4.327200017724211,2.0,0.0,3.0
1318,8.779296875,4.2911400175765095,2.0,0.0,3.0
1319,9.17578125,3.7213920152428215,2.5,-1.0,2.0
1319,9.345703125,4.327200017724211,2.5,-1.0,2.0
1320,8.49609375,-1.0818000044310527,2.5,-1.0,2.0
1320,9.345703125,4.327200017724211,2.5,-1.0,2.0
