block,range_m,radial_velocity_mps,angle_deg
8,132.5390625,6.279634098569065,10.0
12,132.1142578125,7.3623296328051095,10.0
13,132.5390625,8.011946953346737,7.5
14,130.83984375,7.145790525957899,5.0
14,132.5390625,7.145790525957899,10.0
15,132.19921875,5.976479348982972,7.5
16,132.255859375,6.640532609981079,10.0
17,132.1142578125,6.279634098569065,12.5
18,131.689453125,5.738286331451041,6.666666666666667
19,130.4150390625,6.712712312263482,5.0
19,132.1142578125,6.712712312263482,10.0
20,132.255859375,6.640532609981079,10.0
21,132.32666015625,7.362329632805109,10.0
22,131.97265625,6.640532609981079,6.666666666666667
23,132.5390625,8.661564273888363,10.0
24,132.19921875,8.141870417455062,7.5
25,132.19921875,8.141870417455062,10.0
26,132.5390625,9.311181594429993,7.5
27,132.5390625,9.094642487582783,10.0
28,133.2470703125,8.80592367845317,12.5
29,132.32666015625,9.218379120066903,8.75
30,132.432861328125,8.174351283482144,10.0
31,132.432861328125,9.04050771087098,10.0
32,133.070068359375,8.282620836905748,10.0
33,132.3974609375,8.733743976170766,12.5
34,133.10546875,7.723228144217124,12.5
35,132.19921875,6.929251419110692,9.0
36,132.32666015625,6.712712312263482,10.0
37,132.19921875,7.795407846499527,9.0
38,132.255859375,7.073610823675497,10.0
39,131.9443359375,8.055254774716179,10.0
41,179.55078125,3.6089851141201517,-2.5
42,179.3525390625,5.630016778027437,1.0
43,179.3525390625,6.929251419110691,1.0
44,179.6923828125,7.1457905259579,-2.5
45,179.6923828125,9.094642487582783,-5.0
46,179.833984375,10.826955342360455,-1.6666666666666667
47,179.1259765625,-2.237570770754494,-5.0
48,179.29792131696428,-1.2992346410832543,0.0
49,132.5390625,-9.094642487582783,7.5
50,133.1337890625,-10.393877128666036,11.0
51,133.10546875,13.064526113114951,10.0
52,133.388671875,-12.847987006267742,11.666666666666666
52,133.5302734375,13.208885517679757,11.666666666666666
53,132.5390625,-13.858502838221382,12.5
53,132.5390625,11.909650876596501,12.5
54,132.5390625,11.816848402233413,10.0
55,132.5390625,12.126189983443709,12.5
56,133.3037109375,-13.51204026726585,10.0
56,133.2470703125,13.281065219962159,10.0
57,132.5390625,-13.858502838221382,10.0
57,132.5390625,13.425424624526965,10.0
58,133.275390625,-13.685271552743615,11.666666666666666
58,133.10546875,13.425424624526963,11.666666666666666
59,132.008056640625,12.938211634120744,7.5
60,132.32666015625,12.24992661592783,8.75
61,132.645263671875,12.180324760155512,10.833333333333334
62,132.75146484375,11.693111769749292,10.833333333333334
63,132.5390625,10.703218709876337,10.0
64,132.19921875,10.826955342360455,9.0
65,132.5390625,11.136296923570754,10.0
66,132.01311383928572,9.527720701277202,6.666666666666667
67,132.3974609375,10.89913504464286,7.5
68,132.5390625,10.177338021818828,10.0
69,132.1142578125,11.909650876596501,7.5
70,132.786865234375,12.613402973849931,10.0
71,133.07310267857144,12.683004829622249,7.0
72,132.255859375,12.775807303985339,6.666666666666667
73,132.87890625,9.008026844843897,7.5
74,132.822265625,11.620932067466889,7.5
75,132.6806640625,11.332213258337276,10.833333333333334
76,132.5390625,9.311181594429993,10.0
77,132.1142578125,9.094642487582783,10.0
78,132.1142578125,9.218379120066903,10.0
79,132.5390625,9.960798914971619,12.5
80,132.5390625,9.672080105842008,10.0
81,132.369140625,9.267873773060552,10.0
82,132.1142578125,10.826955342360455,7.5
84,132.19921875,9.614336344016085,10.0
85,132.475341796875,11.205898779343071,8.0
87,132.19921875,9.441105058538318,10.0
89,132.5390625,10.826955342360455,10.0
90,132.5390625,9.960798914971619,10.0
91,132.5390625,10.393877128666036,10.0
92,132.19921875,9.614336344016085,10.0
95,132.369140625,10.22064584318827,10.0
96,132.92138671875,10.134030200449384,10.0
98,1.189453125,0.08661564273888364,-45.0
98,1.189453125,0.08661564273888364,45.0
102,132.5390625,10.950691974844576,10.0
103,132.5390625,10.177338021818828,10.0
105,132.255859375,12.34272909029092,6.666666666666667
106,132.5390625,10.393877128666038,10.0
107,132.2841796875,11.43326484153264,7.5
108,132.822265625,10.177338021818828,8.333333333333334
110,132.5390625,9.960798914971619,10.0
111,132.5390625,11.043494449207664,10.0
113,132.5390625,9.527720701277202,10.0
114,132.255859375,10.105158319536425,10.0
115,132.5390625,9.74425980812441,10.0
116,133.10546875,10.754775640078053,10.0
117,132.19921875,9.837062282487498,9.0
118,132.89306640625,10.032978617254022,7.5
119,132.5390625,8.661564273888365,12.5
120,132.5390625,10.177338021818828,7.5
121,132.5390625,11.043494449207664,10.0
122,132.1142578125,10.393877128666036,7.5
123,132.32666015625,10.71868578893685,10.0
125,133.3037109375,11.346649198793758,10.0
126,133.1337890625,10.65372405688269,10.0
127,131.689453125,10.502146682089641,7.5
128,132.255859375,10.97131474692526,10.0
129,132.5390625,10.270140496181915,10.0
130,131.97265625,10.46605683094844,7.5
132,132.5390625,10.610416235513247,10.0
133,133.1337890625,10.65372405688269,10.0
134,132.75146484375,9.960798914971619,10.0
135,132.29631696428572,10.393877128666038,10.0
136,132.5390625,9.74425980812441,12.5
137,132.1142578125,10.270140496181915,10.0
138,132.5390625,7.7954078464995264,12.5
139,131.7744140625,8.315101702932827,10.0
140,132.5390625,7.795407846499527,12.5
141,132.5390625,8.661564273888363,10.0
142,131.8310546875,8.300665762476347,8.333333333333334
143,132.5390625,10.93522489578406,10.0
144,132.3974609375,9.599900403559603,12.5
145,132.1142578125,10.285607575242434,10.0
146,131.689453125,8.661564273888363,10.0
147,131.916015625,9.441105058538318,11.666666666666666
148,132.255859375,9.094642487582783,11.666666666666666
149,131.97265625,9.599900403559603,10.0
150,132.5390625,9.960798914971619,12.5
151,131.8310546875,8.661564273888363,11.666666666666666
152,132.255859375,9.5277207012772,11.666666666666666
153,132.255859375,9.852529361548015,11.666666666666666
154,133.10546875,10.46605683094844,10.0
155,131.7744140625,9.441105058538318,10.0
156,131.90185546875,9.960798914971619,10.0
157,132.1142578125,9.455540998994799,8.333333333333334
158,132.5390625,7.7954078464995264,10.0
160,132.5390625,8.785300906372482,10.0
161,132.5390625,10.177338021818828,10.0
162,133.2470703125,9.383361296712396,10.0
163,132.32666015625,8.661564273888365,12.5
164,132.5390625,8.445025167041155,12.5
165,132.32666015625,8.878103380735572,8.75
166,131.7744140625,9.311181594429993,9.0
167,132.029296875,8.488332988410596,9.0
168,132.1142578125,9.5277207012772,10.0
169,132.0576171875,8.300665762476347,9.0
170,132.19921875,8.352222692678064,9.0
171,133.17626953125,8.878103380735572,11.25
173,131.859375,8.748179916627247,9.0
174,132.029296875,8.921411202105014,9.0
176,131.97265625,8.300665762476347,10.0
177,131.87151227678572,7.795407846499527,10.0
178,132.19921875,9.094642487582783,9.0
179,131.689453125,8.141870417455062,11.0
180,131.916015625,8.517204869323558,9.0
180,132.19921875,9.960798914971619,9.0
181,132.029296875,8.661564273888365,11.0
182,131.7744140625,8.315101702932827,10.0
183,131.81689453125,9.094642487582782,11.0
184,132.19921875,9.74425980812441,9.0
185,132.029296875,8.488332988410596,9.0
186,131.7744140625,8.748179916627247,10.0
187,132.255859375,8.661564273888363,11.666666666666666
189,132.029296875,8.661564273888363,11.0
190,132.19921875,8.55329472046476,9.0
191,132.1142578125,8.661564273888363,10.0
192,132.32666015625,7.578868739652318,10.0
193,132.1142578125,8.733743976170766,11.666666666666666
195,132.5390625,8.878103380735574,12.5
196,132.149658203125,8.174351283482144,11.666666666666666
197,132.0576171875,8.300665762476347,9.0
198,132.75146484375,7.362329632805109,10.0
199,131.97265625,7.723228144217124,10.0
200,132.1142578125,10.393877128666036,10.0
201,132.1142578125,8.661564273888363,10.0
202,132.255859375,9.5277207012772,11.666666666666666
204,131.97265625,8.300665762476347,10.0
205,132.503662109375,9.04050771087098,9.166666666666666
206,132.1142578125,8.661564273888363,7.5
207,133.03466796875,9.5277207012772,11.666666666666666
208,132.0859375,8.921411202105014,11.666666666666666
209,131.8310546875,8.445025167041155,11.666666666666666
210,133.1337890625,8.921411202105014,10.0
211,132.1142578125,8.011946953346737,10.0
212,132.9638671875,8.445025167041155,10.0
213,132.19921875,8.878103380735574,9.0
214,132.255859375,7.795407846499527,11.666666666666666
