block,range_m,radial_velocity_mps,angle_deg
0,132.0859375,6.669404490894041,11.666666666666666
1,132.255859375,6.17136454514546,11.666666666666666
2,132.1142578125,6.063094991721855,10.0
3,132.0859375,6.322941919938506,11.666666666666666
4,132.369140625,5.803248063505204,10.0
6,132.5390625,7.3623296328051095,10.0
6,132.5390625,9.5277207012772,10.0
7,132.1142578125,7.723228144217124,11.666666666666666
8,132.3974609375,6.640532609981079,10.0
9,132.32666015625,6.820981865687087,10.0
10,131.8310546875,5.413477671180227,11.666666666666666
10,132.255859375,6.929251419110691,11.666666666666666
11,132.1142578125,5.196938564333018,10.0
12,131.97265625,5.70219648030984,10.0
13,132.255859375,4.439051690367786,11.666666666666666
14,132.5390625,5.846555884874646,10.0
15,132.5390625,6.207454396286661,10.0
16,132.32666015625,5.630016778027437,12.5
17,132.255859375,5.341297968897824,10.0
18,132.32666015625,5.954825438298251,10.0
25,132.369140625,6.756020133632925,10.0
26,132.1142578125,7.1457905259579,10.0
28,132.369140625,5.803248063505204,12.5
34,132.0859375,6.322941919938506,11.666666666666666
35,131.8310546875,7.578868739652318,11.666666666666666
36,132.19921875,6.582788848155157,12.5
37,132.5390625,6.929251419110692,7.5
38,131.97265625,7.651048441934722,11.666666666666666
39,132.5390625,7.3623296328051095,12.5
40,132.1142578125,7.1457905259579,10.0
41,132.1142578125,7.254060079381505,10.0
42,131.8310546875,7.578868739652318,11.666666666666666
43,131.90185546875,7.48606626528923,10.0
44,132.32666015625,7.254060079381505,12.5
45,178.8427734375,1.7323128547776727,5.0
48,0.56640625,-0.4330782136944182,-5.0
48,1.69921875,-0.4330782136944182,47.5
49,133.1337890625,-9.5277207012772,12.0
50,132.87890625,-12.732499482615896,12.0
51,133.1337890625,12.775807303985337,12.0
52,132.255859375,10.285607575242434,11.666666666666666
53,132.255859375,9.527720701277202,11.666666666666666
54,132.5390625,9.65145733376132,10.0
58,131.9443359375,8.055254774716179,12.5
59,132.3974609375,7.290149930522706,12.5
60,132.5390625,6.820981865687087,10.0
61,132.369140625,7.102482704588458,10.0
62,132.369140625,7.102482704588458,12.5
63,2.548828125,0.4330782136944182,47.5
63,132.5390625,6.279634098569065,12.5
64,132.32666015625,6.387903651992669,12.5
65,132.1142578125,4.9803994574858095,12.5
66,131.97265625,7.217970228240303,11.666666666666666
67,132.0859375,6.669404490894041,11.666666666666666
68,132.1142578125,5.630016778027437,12.5
69,132.255859375,6.2074543962866615,12.5
70,132.1142578125,5.413477671180227,12.5
71,132.369140625,6.236326277199622,10.0
72,132.1142578125,6.063094991721855,12.5
73,2.9736328125,-0.2165391068472091,42.5
73,131.689453125,6.279634098569065,10.0
74,132.1142578125,5.753753410511556,10.0
75,131.97265625,5.918735587157049,11.666666666666666
76,132.5390625,3.0315474958609276,10.0
77,131.9443359375,5.456785492549669,10.0
78,131.97265625,4.04206332781457,11.666666666666666
79,132.04345703125,4.3307821369441815,11.666666666666666
80,131.9443359375,3.6378569950331126,10.0
81,131.689453125,4.9803994574858095,12.5
82,131.916015625,4.677244707899716,11.666666666666666
83,132.255859375,4.7638603506386,11.666666666666666
84,132.1142578125,5.124758862050615,11.666666666666666
85,131.916015625,4.677244707899716,11.666666666666666
86,131.8310546875,3.6811648164025543,11.666666666666666
87,132.029296875,4.7638603506386,11.0
89,179.1259765625,4.114243030096972,3.3333333333333335
93,133.1337890625,-11.043494449207664,12.0
94,132.6806640625,-13.281065219962159,10.833333333333334
95,132.029296875,13.425424624526963,11.0
96,132.1142578125,-13.858502838221382,12.5
96,132.1142578125,12.884076857408942,12.5
97,132.1142578125,12.775807303985339,10.0
98,132.58154296875,11.15176400263127,10.0
99,132.5390625,11.693111769749292,12.5
100,132.5390625,11.260033556054873,12.5
101,132.5390625,11.136296923570754,12.5
102,133.1337890625,10.567108414143805,12.5
103,132.5390625,10.177338021818827,12.5
104,132.1142578125,8.445025167041155,12.5
105,132.369140625,8.488332988410596,10.0
106,132.5390625,8.445025167041155,12.5
107,132.5390625,7.578868739652318,10.0
107,132.5390625,9.5277207012772,10.0
108,133.1337890625,8.834795559366132,12.5
109,132.1142578125,7.795407846499527,12.5
110,132.04345703125,8.517204869323558,10.0
111,132.32666015625,8.769833827311968,10.0
112,132.5390625,8.12021650677034,12.5
113,132.5390625,8.336755613617552,10.0
114,132.5390625,8.12021650677034,7.5
115,132.5390625,9.383361296712394,10.0
116,132.32666015625,9.852529361548015,10.0
117,132.369140625,9.008026844843899,10.0
118,132.3974609375,9.022462785300378,10.0
119,132.369140625,8.921411202105014,10.0
120,132.5390625,7.795407846499527,12.5
120,132.5390625,9.094642487582783,12.5
121,132.369140625,8.488332988410596,10.0
122,132.5390625,9.094642487582782,10.0
123,132.5390625,8.950283083017977,7.5
134,178.8427734375,6.279634098569065,5.0
146,132.5390625,10.393877128666038,10.0
148,132.5390625,9.094642487582783,12.5
148,132.5390625,10.393877128666038,12.5
149,132.369140625,9.354489415799435,12.5
150,132.5390625,9.202912041006389,10.0
151,133.1337890625,9.354489415799435,10.0
154,130.83984375,9.960798914971619,5.0
155,130.6982421875,9.455540998994799,5.0
157,130.83984375,7.795407846499527,5.0
158,130.4150390625,8.445025167041154,5.0
161,132.5390625,8.228486060193946,12.5
162,132.9638671875,9.599900403559603,11.666666666666666
163,132.5390625,9.094642487582783,12.5
164,132.5390625,9.5277207012772,10.0
165,132.5390625,9.094642487582783,12.5
166,132.5390625,7.578868739652318,10.0
166,132.5390625,9.094642487582783,10.0
169,132.5390625,8.011946953346735,10.0
174,132.5390625,8.228486060193944,10.0
175,132.1142578125,7.578868739652318,15.0
176,132.32666015625,8.12021650677034,12.5
177,132.19921875,7.968639131977295,12.5
178,132.3974609375,8.228486060193944,12.5
179,132.19921875,8.228486060193944,10.0
180,132.369140625,8.488332988410596,10.0
181,132.255859375,7.217970228240303,12.5
182,132.1142578125,7.3623296328051095,12.5
183,132.5390625,9.094642487582783,12.5
184,132.5390625,7.578868739652319,10.0
187,132.1142578125,6.712712312263482,12.5
189,132.5390625,7.795407846499527,12.5
194,132.5390625,8.878103380735574,12.5
195,132.5390625,8.445025167041154,12.5
196,132.5390625,8.011946953346735,12.5
197,1.06201171875,0.10826955342360454,40.0
202,132.5390625,7.578868739652319,12.5
203,132.5390625,7.795407846499527,10.0
268,132.369140625,7.189098347327342,10.0
283,131.689453125,7.578868739652319,10.0
286,131.90185546875,6.604442758839878,10.0
290,131.97265625,7.434509335087513,10.0
293,131.40625,6.2074543962866615,10.0
293,131.689453125,8.228486060193946,10.0
294,131.47705078125,6.929251419110692,10.0
