block,range,angle
417,2.548828125,27
425,3.3984375,47
426,3.73828125,-43
427,3.3984375,-43
428,4.248046875,-3
429,4.248046875,-4
429,1.69921875,-3
430,5.09765625,45
430,2.548828125,-50
431,4.7578125,44
432,5.286458333333333,44
433,2.548828125,2
433,5.947265625,45
434,3.3984375,0
434,2.548828125,2
436,5.09765625,48
443,9.345703125,45
444,9.709821428571429,45
445,9.85546875,43
476,55.5078125,-35
532,12.234375,48
534,11.89453125,41
539,11.89453125,37
541,11.5546875,34
542,11.044921875,36
548,11.5546875,28
549,11.89453125,27
550,10.478515625,26
551,11.044921875,25
552,10.1953125,24
553,10.76171875,22
554,10.3369140625,20
555,10.349786931818182,19
556,10.3369140625,19
557,10.1953125,17
558,10.349786931818182,17
559,10.1953125,15
560,10.1953125,14
560,10.1953125,14
561,10.680803571428571,11
562,10.1953125,9
562,10.1953125,9
563,10.064603365384615,10
564,10.1953125,8
564,10.1953125,8
565,9.709821428571429,9
566,10.1953125,8
567,10.040838068181818,7
568,9.345703125,5
568,10.1953125,6
569,10.040838068181818,5
570,10.040838068181818,4
571,9.96875,3
572,9.952566964285714,2
573,9.62890625,0
573,9.709821428571429,0
574,9.817708333333334,1
575,10.1953125,-1
575,9.62890625,-1
576,10.1953125,-1
576,10.438058035714286,-1
577,10.1953125,-3
577,10.025390625,-3
578,10.100911458333334,-6
579,10.1953125,-9
579,10.0537109375,-9
580,10.0537109375,-11
581,10.064603365384615,-13
582,10.040838068181818,-13
583,10.1953125,-16
584,10.1953125,-19
585,10.1953125,-20
585,10.1953125,-20
586,10.040838068181818,-22
587,10.3369140625,-23
588,10.53515625,-24
589,10.1953125,-25
590,10.349786931818182,-26
591,10.40771484375,-27
592,11.166294642857142,-29
597,11.328125,-34
598,11.409040178571429,-36
599,11.68212890625,-38
601,11.89453125,-39
602,11.328125,-39
603,12.744140625,-38
607,13.25390625,-42
608,13.02734375,-45
609,13.02734375,-45
651,11.89453125,-41
657,11.044921875,-39
663,11.044921875,-31
664,10.1953125,-31
666,11.044921875,-29
667,10.53515625,-28
669,10.53515625,-25
670,11.044921875,-25
671,10.1953125,-24
672,10.1953125,-23
673,10.1953125,-22
674,10.3369140625,-20
675,10.1953125,-18
675,10.76171875,-18
675,10.1953125,-18
676,10.1953125,-17
677,9.345703125,-16
677,10.1953125,-15
678,10.1953125,-13
679,10.1953125,-11
679,10.478515625,-11
680,10.438058035714286,-9
681,10.1953125,-8
681,10.76171875,-8
681,10.3369140625,-8
682,10.1953125,-6
682,10.040838068181818,-6
683,9.62890625,-6
683,10.1953125,-6
684,10.1953125,-3
685,10.064603365384615,-1
686,11.044921875,0
686,10.006510416666666,0
687,10.1953125,1
687,10.875,1
688,9.62890625,2
689,9.345703125,2
689,10.1953125,7
690,10.0537109375,4
691,11.044921875,4
691,10.1953125,4
692,10.3369140625,6
693,10.1953125,7
694,10.1953125,7
694,10.1953125,7
695,10.1953125,8
696,10.1953125,8
697,10.1953125,8
698,11.89453125,13
698,10.478515625,11
699,10.1953125,12
700,10.45673076923077,12
701,10.349786931818182,13
702,10.3369140625,15
703,10.53515625,16
704,10.040838068181818,17
705,9.98291015625,18
706,11.044921875,18
707,11.044921875,21
708,9.98291015625,21
709,11.044921875,25
710,11.044921875,27
714,11.68212890625,31
716,12.744140625,32
718,11.89453125,34
719,12.744140625,34
720,12.744140625,34
758,13.02734375,42
760,12.744140625,39
761,12.744140625,37
762,12.744140625,37
764,12.4609375,36
771,11.89453125,29
772,11.044921875,31
775,11.89453125,25
776,11.409040178571429,25
777,11.044921875,22
778,11.044921875,22
779,11.328125,21
780,10.478515625,19
781,10.680803571428571,17
782,10.1953125,14
782,10.478515625,14
783,10.365234375,12
784,11.044921875,11
784,10.349786931818182,11
785,11.044921875,10
785,10.1953125,10
786,10.1953125,9
786,10.1953125,9
787,10.1953125,7
787,10.3369140625,7
788,10.1953125,7
789,8.49609375,5
789,10.1953125,7
790,10.1953125,5
790,10.1953125,5
791,10.1953125,4
791,10.1953125,4
792,9.345703125,2
792,10.1953125,3
793,10.040838068181818,1
794,10.1953125,0
795,10.1953125,1
796,9.912109375,-2
796,10.1953125,-2
797,7.646484375,-6
797,10.1953125,-5
798,10.1953125,-6
798,10.1953125,-6
799,10.1953125,-10
800,9.7705078125,-12
800,10.1953125,-12
801,10.1953125,-14
802,10.3369140625,-16
803,10.349786931818182,-18
804,10.1953125,-20
804,10.1953125,-20
805,10.349786931818182,-23
806,10.3369140625,-24
807,10.76171875,-25
808,10.76171875,-26
809,10.384114583333334,-27
810,10.6201171875,-28
813,8.0712890625,-32
814,11.89453125,-33
815,11.328125,-35
816,11.89453125,-36
817,12.083333333333334,-37
818,11.89453125,-39
819,11.89453125,-39
820,12.744140625,-40
821,12.4609375,-41
