time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-05-28 07:43:47,51.9888234997705,4.38996281572144,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-3.833775057064,0.328084,0,0,0,26,5,0,0,0,0,0,0,0,0,165.2, 0.8, -0.5,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,"Flying over vegetation."
100,2026-05-28 07:43:47,51.9888235097024,4.3899628102921,0,,,-3.833775057064,0.328084,0,0.0038234253192,0.0038234253192,26,5,0,0,0,0,0.0038234253192,0,0,0,165.2, 0.8, -0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
200,2026-05-28 07:43:47,51.9888234907696,4.38996281676071,0,,,-3.833775057064,0.328084,0,0.0032922901316,0.0108823166212,26,5,0,0,0,0,0.0038234253192,0,0,0,165.2, 0.8, -0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
300,2026-05-28 07:43:47,51.9888234981771,4.38996281138582,0,,,-3.833775057064,0.328084,0,0.00113442588932,0.0138424545112,26,5,0,0,0,0,0.0038234253192,0,0,0,165.2, 0.8, -0.5,,,0,0,364,364,364,1684,-100,-100,-100,100,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,"Setting new Return-To-Home altitude to 97m (318 ft). Data Recorder File Index is 31. Setting new Maximum Flight Altitude to 285m (935 ft)"
400,2026-05-28 07:43:48,51.9888234819257,4.38996281816352,0,,,-3.833775057064,0.328084,0,0.0065337272432,0.0199641738672,26,5,0,0,0,0,0.0065337272432,0,0,0,165.2, 0.8, -0.5,,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
500,2026-05-28 07:43:48,51.9888234872057,4.38996281354452,0,,,-3.833775057064,0.328084,0,0.0046103019848,0.0221523301052,26,5,0,0,0,0,0.0065337272432,0,0,0,165.2, 0.8, -0.5,,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
600,2026-05-28 07:43:48,51.9888236292878,4.38996282000239,0,,,-3.833775057064,0.328084,0,0.047264109124,0.074011157224,26,5,0,0,0,0,0.047264109124,0,0,0,165.2, 0.8, -0.5,,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
700,2026-05-28 07:43:48,51.988823647226,4.38996281637414,0,,,-3.833775057064,0.328084,0,0.05379921432,0.080606629876,26,5,0,0,0,0,0.05379921432,0,0,0,165.2, 0.8, -0.5,,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
800,2026-05-28 07:43:48,51.9888236158304,4.38996297721643,0,,,-3.833775057064,0.328084,0,0.055764109396,0.118516407992,26,5,0,0,0,0,0.055764109396,0,0,0,165.2, 0.8, -0.5,,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
900,2026-05-28 07:43:48,51.9888236303471,4.38996298883075,0,,,-3.833775057064,0.328084,0,0.061501314304,0.12442093574,26,5,0,0,0,0,0.061501314304,0,0,0,165.2, 0.8, -0.5,,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
1000,2026-05-28 07:43:48,51.98882360416,4.3899629723184,0,,,-3.833775057064,0.328084,0,0.051850723444,0.1346702799,26,5,0,0,0,0,0.061501314304,0,0,0,165.2, 0.8, -0.5,,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
1100,2026-05-28 07:43:48,51.9888236157447,4.38996298081249,0,,,-3.833775057064,0.328084,0,0.05626968684,0.13930774724,26,5,0,0,0,0,0.061501314304,0,0,0,165.2, 0.9, -0.5,,,0,0,1024,1024,1024,1024,0,0,0,0,165.1,0,0,94,4.046,4.042,4.047,0,0,0,0,82.04,-3.833775057064,0,41,Motors_Started,
