block,x_position_m,y_position_m,range_m,radial_velocity_mps,angle_deg
0,-0.9254608602794405,1.4250847541260134,1.69921875,-0.43272000177242115,-33.0
3,0.2826299547053916,1.329669394747517,1.359375,-0.2163600008862106,12.0
4,-0.10354133668210772,0.8432765155546388,0.849609375,0.6490800026586317,-7.0
4,0.14809667224699727,1.6927527096480832,1.69921875,-0.5048400020678246,5.0
5,0.1332125435198123,1.267432688921481,1.2744140625,-0.2163600008862106,6.0
6,-0.9313881423621829,0.4146807181358744,1.01953125,0.2596320010634527,-66.0
7,0.7725762672582991,0.8284866151154665,1.1328125,0.36060000147701765,43.0
8,-0.0,0.0,0.0,-0.6490800026586317,-44.0
8,1.3906372810649383,1.4912759072078399,2.0390625,0.4759920019496633,43.0
9,-0.0,0.0,0.0,-0.6490800026586317,-18.0
9,-1.3306194337300459,0.4843058670138865,1.416015625,0.5048400020678246,-70.0
10,-0.0,0.0,0.0,-0.8654400035448423,-44.0
10,-1.1772532832694713,0.6796875000000001,1.359375,0.778896003190358,-60.0
11,-1.8334735145350387,1.7705647918925613,2.548828125,0.757260003101737,-46.0
12,-0.0,0.0,0.0,0.0,-16.0
14,0.6166173315577469,2.4731170366995614,2.548828125,0.43272000177242115,14.0
15,0.38224104937336434,1.6556678835217864,1.69921875,0.43272000177242115,13.0
16,-0.03951050270663347,0.5650265128424785,0.56640625,-0.21636000088621057,-4.0
18,0.4425993590924689,2.510105698595569,2.548828125,0.43272000177242115,10.0
19,1.4619477528088185,2.087877769135028,2.548828125,0.43272000177242115,35.0
20,-0.11824277132349309,0.8413410349659827,0.849609375,0.0,-8.0
22,0.3544218348567731,2.237731396660859,2.265625,0.6490800026586316,9.0
23,0.6166173315577469,2.4731170366995614,2.548828125,0.43272000177242115,14.0
24,-0.0,0.0,0.0,-1.2981600053172635,-20.0
24,0.46836816320466657,1.6333938973951903,1.69921875,1.2981600053172635,16.0
26,-1.7705647918925613,1.8334735145350387,2.548828125,0.8654400035448423,-44.0
54,-0.7452052239515068,2.437456458069846,2.548828125,-0.6490800026586317,-17.0
55,-0.5811670404166637,1.5967433204760553,1.69921875,-0.43272000177242115,-20.0
59,-0.13339535722078458,2.5453350446381227,2.548828125,-0.43272000177242115,-3.0
60,-0.08893023814718971,1.6968900297587486,1.69921875,0.6490800026586317,-3.0
61,-1.1328124999999998,1.962088805449119,2.265625,-0.07212000029540351,-30.0
62,-0.7869176852855828,0.8148771175711284,1.1328125,0.07212000029540352,-44.0
63,-0.08860545871419327,0.5594328491652147,0.56640625,0.07212000029540352,-9.0
64,-0.9254608602794405,1.4250847541260134,1.69921875,-0.43272000177242115,-33.0
66,0.43979017429529893,1.6413192751396277,1.69921875,-0.43272000177242115,15.0
67,0.6596852614429484,2.4619789127094416,2.548828125,-0.43272000177242115,15.0
68,-0.13339535722078458,2.5453350446381227,2.548828125,-0.43272000177242115,-3.0
73,-1.1588644008874487,1.2427299226731998,1.69921875,0.43272000177242115,-43.0
78,1.6249709720465642,0.4968034826343379,1.69921875,-0.43272000177242115,73.0
81,-0.17779726217985062,2.5426193077911536,2.548828125,-0.43272000177242115,-4.0
84,-0.7448884720830026,1.5272476958599128,1.69921875,-0.43272000177242115,-26.0
85,-0.17779726217985062,2.5426193077911536,2.548828125,-0.6490800026586317,-4.0
87,-0.46836816320466657,1.6333938973951903,1.69921875,-0.43272000177242115,-16.0
89,-1.1966023231163818,2.2504816575798823,2.548828125,-0.43272000177242115,-28.0
99,0.11857365086291963,2.262520039678331,2.265625,0.07212000029540351,3.0
100,0.17779726217985062,2.5426193077911536,2.548828125,-0.10818000044310531,4.0
102,0.23648554264698618,1.6826820699319653,1.69921875,0.43272000177242115,8.0
103,-0.014827728125426421,0.8494799753770121,0.849609375,0.0,-1.0
104,-0.16560116087811264,0.5416569906821881,0.56640625,0.14424000059080705,-17.0
106,-0.7977348820775879,1.5003211050532548,1.69921875,0.43272000177242115,-28.0
113,0.23682229959077739,2.253213669193744,2.265625,-0.5048400020678246,6.0
114,-0.9004487497712661,1.441019225890802,1.69921875,-0.43272000177242115,-32.0
115,-0.11107250418524796,1.2695645322360625,1.2744140625,-0.2163600008862106,-5.0
116,-0.19372234680555456,0.5322477734920185,0.56640625,0.07212000029540352,-20.0
135,0.9987757216688509,1.3746968459105553,1.69921875,0.21636000088621057,36.0
136,0.04448318437627926,2.5484399261310364,2.548828125,-0.43272000177242115,1.0
137,0.9501910664444332,1.4087161877400123,1.69921875,0.21636000088621057,34.0
143,0.46836816320466657,1.6333938973951903,1.69921875,0.43272000177242115,16.0
145,-0.05930187916245282,1.6981836318488541,1.69921875,-0.43272000177242115,-2.0
149,-0.9004487497712661,1.441019225890802,1.69921875,-0.43272000177242115,-32.0
152,0.7452052239515068,2.437456458069846,2.548828125,-0.43272000177242115,17.0
153,0.43979017429529893,1.6413192751396277,1.69921875,0.6490800026586317,15.0
159,-0.08893023814718971,1.6968900297587486,1.69921875,0.43272000177242115,-3.0
160,0.23648554264698618,1.6826820699319653,1.69921875,0.43272000177242115,8.0
162,-0.4110782210384979,1.6487446911330408,1.69921875,-0.43272000177242115,-14.0
168,-0.13339535722078458,2.5453350446381227,2.548828125,-0.43272000177242115,-3.0
169,0.3532874433817395,1.6620867434343964,1.69921875,-0.09272571466551884,12.0
170,-0.3532874433817395,1.6620867434343964,1.69921875,-9.25185853854297e-18,-12.0
171,-0.4140029021952816,1.3541424767054702,1.416015625,0.07212000029540351,-17.0
172,-0.9931846294440035,2.03633026114655,2.265625,-0.21636000088621057,-26.0
173,1.2182897940073487,1.7398981409458567,2.1240234375,0.0,35.0
174,-0.8751623538510686,1.4565147492399175,1.69921875,-0.43272000177242115,-31.0
175,-0.15804201082653388,2.260106051369914,2.265625,-0.07212000029540351,-4.0
178,0.20708267336421543,1.6865530311092776,1.69921875,-0.43272000177242115,7.0
188,-0.09482520649592033,1.3560636308219485,1.359375,0.043272000177242115,-4.0
207,0.20708267336421543,1.6865530311092776,1.69921875,0.43272000177242115,7.0
209,0.38224104937336434,1.6556678835217864,1.69921875,0.6490800026586317,13.0
210,0.07114419051775178,1.3575120238069989,1.359375,0.043272000177242115,3.0
213,-0.029655456250852842,1.6989599507540243,1.69921875,-0.43272000177242115,-1.0
250,-0.6590380775223644,1.1889361643926162,1.359375,0.043272000177242115,-29.0
253,-1.1588644008874487,1.2427299226731998,1.69921875,-0.6490800026586317,-43.0
254,-1.5272476958599128,0.7448884720830027,1.69921875,0.43272000177242115,-64.0
256,-0.11853150811990042,1.6950795385274358,1.69921875,0.43272000177242115,-4.0
257,-0.07906917221660376,2.2642448424651387,2.265625,0.21636000088621057,-2.0
258,0.43979017429529893,1.6413192751396277,1.69921875,-9.25185853854297e-18,15.0
259,-0.11853150811990042,1.6950795385274358,1.69921875,0.0,-4.0
260,1.5451525345165982,1.656973230230933,2.265625,0.36060000147701765,43.0
261,-0.3532874433817395,1.6620867434343964,1.69921875,0.43272000177242115,-12.0
262,-0.4323016301499843,2.2239990874986137,2.265625,0.28848000118161415,-11.0
263,-1.1966023231163818,2.2504816575798823,2.548828125,0.43272000177242115,-28.0
264,0.43979017429529893,1.6413192751396277,1.69921875,0.43272000177242115,15.0
265,-0.11853150811990042,1.6950795385274358,1.69921875,-0.43272000177242115,-4.0
266,-1.2427299226731998,1.1588644008874487,1.69921875,-0.6490800026586317,-47.0
267,-0.7452052239515068,2.437456458069846,2.548828125,-0.43272000177242115,-17.0
268,-0.7293019615425571,1.2137622910332646,1.416015625,-0.03606000014770177,-31.0
269,0.5733615740600465,2.4835018252826795,2.548828125,0.1081800004431053,13.0
270,0.44594789093559173,1.9316125307754175,1.982421875,0.18030000073850883,13.0
271,0.4968034826343379,1.6249709720465642,1.69921875,0.030908571555172928,17.0
272,0.5620417958455999,1.9600726768742285,2.0390625,0.38944800159517906,16.0
273,0.7452052239515068,2.437456458069846,2.548828125,0.0,17.0
274,0.09482520649592033,1.3560636308219485,1.359375,-0.12981600053172637,4.0
275,0.46836816320466657,1.6333938973951903,1.69921875,0.1081800004431053,16.0
276,-1.1577198211344852,1.8527390047167456,2.1847098214285716,0.09272571466551881,-32.0
277,-0.14809667224699727,1.6927527096480832,1.69921875,-0.43272000177242115,-5.0
278,-0.6915143905706209,2.008303615164565,2.1240234375,0.0,-19.0
279,-0.11853150811990042,1.6950795385274358,1.69921875,0.030908571555172928,-4.0
280,0.4947639460822113,1.8464841845320812,1.91162109375,0.10818000044310529,15.0
282,-0.1422378097438805,2.034095446232923,2.0390625,-1.1102230246251566e-17,-4.0
283,-0.12704319735312816,2.424128613941069,2.427455357142857,0.18545142933103761,-3.0
284,-0.7501605525266273,0.398867441038794,0.849609375,0.0,-62.0
285,-1.5400151850036825,0.7181208744422042,1.69921875,-9.25185853854297e-18,-65.0
286,1.1803765279283742,1.2223156763566925,1.69921875,0.1081800004431053,44.0
287,0.8852823959462807,0.9167367572675194,1.2744140625,-0.2163600008862106,44.0
288,0.974631835205879,1.3919185127566853,1.69921875,0.43272000177242115,35.0
290,-0.5250874709105552,1.6160530647984055,1.69921875,-0.6490800026586317,-18.0
292,1.201529100844329,1.201529100844329,1.69921875,-0.1081800004431053,45.0
293,-0.7403686882235524,1.140067803300811,1.359375,-0.04327200017724213,-33.0
295,-0.17779726217985062,2.5426193077911536,2.548828125,-0.10818000044310531,-4.0
296,-0.656359338638194,2.0200663309980067,2.1240234375,0.0,-18.0
297,-0.24840174131716894,0.8124854860232821,0.849609375,0.0,-17.0
298,-0.14659672476509963,0.5471064250465426,0.56640625,0.14424000059080705,-15.0
300,1.5451525345165982,1.656973230230933,2.265625,0.07212000029540351,43.0
301,-1.586357365337042,0.6089455392664284,1.69921875,-9.25185853854297e-18,-69.0
302,-0.08893023814718971,1.6968900297587486,1.69921875,0.09272571466551881,-3.0
303,0.3512761224034999,1.2250454230463927,1.2744140625,0.21636000088621057,16.0
304,-1.8334735145350387,1.7705647918925613,2.548828125,-0.10818000044310531,-46.0
305,-0.08893023814718971,1.6968900297587486,1.69921875,-0.03090857155517296,-3.0
306,0.9987757216688509,1.3746968459105553,1.69921875,0.06181714311034587,36.0
307,-1.1588644008874487,1.2427299226731998,1.69921875,0.21636000088621057,-43.0
308,-1.3506731246568993,2.161528838836203,2.548828125,0.14424000059080705,-32.0
309,-0.4110782210384979,1.6487446911330408,1.69921875,-0.21636000088621057,-14.0
311,0.328179669319097,1.0100331654990033,1.06201171875,0.02704500011077632,18.0
312,0.2990434231604023,1.8880858659325999,1.91162109375,-0.10818000044310529,9.0
313,1.1588644008874487,1.2427299226731998,1.69921875,-0.03090857155517296,43.0
314,0.9987757216688509,1.3746968459105553,1.69921875,-1.586032892321652e-17,36.0
315,0.3057928394986915,1.3245343068174291,1.359375,0.08654400035448423,13.0
316,0.7797054681647032,1.1135348102053482,1.359375,-0.04327200017724213,35.0
317,-0.4968034826343379,1.6249709720465642,1.69921875,-0.6490800026586317,-17.0
317,-0.4968034826343379,1.6249709720465642,1.69921875,0.5048400020678246,-17.0
318,-1.5523135706036382,0.6911345302264574,1.69921875,-0.6490800026586317,-66.0
318,-1.5523135706036382,0.6911345302264574,1.69921875,0.5048400020678246,-66.0
319,1.2223156763566925,1.1803765279283742,1.69921875,-0.21636000088621057,46.0
320,-2.2908715437898692,1.1173327081245041,2.548828125,-0.43272000177242115,-64.0
325,-1.9551738830654861,0.8299220746720414,2.1240234375,0.0,-67.0
326,1.155011388752762,0.5385906558316531,1.2744140625,0.10818000044310529,65.0
327,-0.8751623538510686,1.4565147492399175,1.69921875,0.1081800004431053,-31.0
328,-1.8022936512664933,1.8022936512664933,2.548828125,0.14424000059080705,-45.0
329,0.07906917221660376,2.2642448424651387,2.265625,0.036060000147701755,2.0
330,0.22214500837049592,2.539129064472125,2.548828125,-0.43272000177242115,5.0
331,2.4500908460927855,0.7025522448069998,2.548828125,0.43272000177242115,74.0
333,-0.6166173315577469,2.4731170366995614,2.548828125,-0.43272000177242115,-14.0
334,-0.11857365086291963,2.262520039678331,2.265625,-0.07212000029540351,-3.0
