block,range_m,radial_velocity_mps,angle_deg
0,1.69921875,-0.43272000177242115,-31.0
3,1.359375,-0.2163600008862106,8.0
4,0.849609375,0.6490800026586317,0.0
4,1.69921875,-0.5048400020678246,6.0
5,1.2744140625,-0.2163600008862106,6.0
6,1.01953125,0.2596320010634527,0.0
7,1.1328125,0.36060000147701765,-18.0
8,0.0,-0.6490800026586317,-40.0
8,2.0390625,0.4759920019496633,37.0
9,0.0,-0.6490800026586317,-75.0
9,1.416015625,0.5048400020678246,-75.0
10,0.0,-0.8654400035448423,-56.0
10,1.359375,0.778896003190358,-55.0
11,2.548828125,0.757260003101737,-64.0
12,0.0,0.0,-39.0
14,2.548828125,0.43272000177242115,12.0
15,1.69921875,0.43272000177242115,13.0
16,0.56640625,-0.21636000088621057,0.0
18,2.548828125,0.43272000177242115,9.0
19,2.548828125,0.43272000177242115,23.0
20,0.849609375,0.0,-19.0
22,2.265625,0.6490800026586316,8.0
23,2.548828125,0.43272000177242115,8.0
24,0.0,-1.2981600053172635,-26.0
24,1.69921875,1.2981600053172635,13.0
26,2.548828125,0.8654400035448423,-61.0
54,2.548828125,-0.6490800026586317,-21.0
55,1.69921875,-0.43272000177242115,-27.0
59,2.548828125,-0.43272000177242115,-2.0
60,1.69921875,0.6490800026586317,-2.0
61,2.265625,-0.07212000029540351,2.0
62,1.1328125,0.07212000029540352,-45.0
63,0.56640625,0.07212000029540352,0.0
64,1.69921875,-0.43272000177242115,63.0
66,1.69921875,-0.43272000177242115,8.0
67,2.548828125,-0.43272000177242115,14.0
68,2.548828125,-0.43272000177242115,0.0
73,1.69921875,0.43272000177242115,-46.0
78,1.69921875,-0.43272000177242115,59.0
81,2.548828125,-0.43272000177242115,-6.0
84,1.69921875,-0.43272000177242115,-26.0
85,2.548828125,-0.6490800026586317,-4.0
87,1.69921875,-0.43272000177242115,-2.0
89,2.548828125,-0.43272000177242115,28.0
99,2.265625,0.07212000029540351,4.0
