block,range_m,radial_velocity_mps,angle_deg,doa_cluster_id,n_angle_bins
60,1.69921875,0.6490800026586317,-2.5,-1.0,2.0
81,2.548828125,-0.43272000177242115,-3.5,-1.0,2.0
99,2.265625,0.07212000029540351,3.5,0.0,4.0
312,1.91162109375,-0.10818000044310529,10.0,-1.0,1.0
330,2.548828125,-0.43272000177242115,5.5,-1.0,2.0
413,0.56640625,-0.14424000059080705,0.0,-1.0,2.0
583,3.73828125,-0.7572600031017369,-7.0,0.0,3.0
584,3.6411830357142856,-0.18545142933103764,0.0,0.0,3.0
585,3.681640625,-0.2524200010339123,8.0,0.0,3.0
586,3.96484375,0.745240003052503,11.0,0.0,3.0
613,1.69921875,0.10818000044310529,-3.0,0.0,3.0
614,1.5104166666666667,-0.0480800001969357,-0.5,-1.0,2.0
616,1.2357954545454546,-0.03933818197931102,-2.0,-1.0,1.0
618,1.5104166666666667,0.04808000019693568,-1.0,0.0,3.0
626,0.9440104166666666,0.12020000049233921,0.5,-1.0,2.0
634,1.69921875,0.21636000088621057,1.0,0.0,3.0
664,5.09765625,1.0818000044310527,-11.0,0.0,3.0
665,4.612165178571429,1.0818000044310527,-4.0,0.0,3.0
674,1.359375,-0.04327200017724212,-2.0,0.0,3.0
694,1.69921875,-0.4327200017724212,0.0,0.0,3.0
698,1.69921875,-13.847040056717477,-0.5,0.0,4.0
698,1.359375,0.389448001595179,-0.5,0.0,4.0
699,0.9709821428571429,0.030908571555172928,0.0,0.0,3.0
700,1.1328125,0.6490800026586316,0.0,0.0,3.0
701,1.1328125,2.0914800085667022,-1.0,0.0,3.0
701,1.1328125,1.0096800041356493,-1.0,0.0,3.0
838,1.69921875,0.5769600023632282,35.5,-1.0,2.0
851,3.3984375,2.812680011520738,46.0,0.0,3.0
852,3.3984375,2.812680011520738,45.0,-1.0,1.0
853,3.3984375,2.8126800115207375,46.5,-1.0,2.0
855,4.248046875,2.920860011963843,-43.0,0.0,3.0
856,4.7578125,2.942496012052464,44.5,-1.0,2.0
857,2.548828125,0.1081800004431053,-3.0,0.0,3.0
857,5.09765625,3.0290400124069485,45.0,0.0,3.0
858,5.09765625,3.0290400124069485,46.0,0.0,3.0
859,5.09765625,3.0290400124069485,44.5,-1.0,2.0
860,5.09765625,3.0290400124069485,45.0,0.0,3.0
861,5.09765625,3.137220012850054,44.5,0.0,4.0
862,5.09765625,3.1372200128500536,44.0,0.0,3.0
863,5.09765625,3.1835828701828133,45.0,0.0,3.0
864,2.83203125,0.07212000029540352,-1.0,-1.0,4.0
864,5.31005859375,3.2183550131823826,45.0,0.0,3.0
865,5.947265625,3.1732800129977554,45.0,0.0,3.0
866,6.513671875,3.2093400131454572,46.0,0.0,3.0
867,6.45703125,3.1588560129386747,47.0,0.0,3.0
869,6.23046875,3.1732800129977554,48.0,0.0,3.0
870,6.796875,3.1372200128500536,47.0,0.0,3.0
871,6.796875,3.0290400124069485,48.0,0.0,3.0
873,7.646484375,3.0290400124069485,47.5,-1.0,2.0
885,8.49609375,2.3799600097483165,45.0,-1.0,1.0
886,9.345703125,2.3799600097483165,45.5,-1.0,2.0
887,9.345703125,2.3799600097483165,45.5,-1.0,2.0
902,11.89453125,1.7308800070896846,47.0,0.0,3.0
906,11.89453125,1.7308800070896846,44.5,-1.0,2.0
907,11.328125,1.5866400064988777,44.0,0.0,3.0
914,11.89453125,1.5145200062034743,43.5,-1.0,2.0
915,11.89453125,1.2981600053172635,44.5,-1.0,2.0
916,11.89453125,1.2440700050957108,44.5,-1.0,2.0
921,12.744140625,0.43272000177242115,45.0,0.0,3.0
1056,12.744140625,-0.43272000177242115,43.5,-1.0,2.0
1057,12.744140625,-0.43272000177242115,43.5,-1.0,2.0
1058,12.744140625,-0.43272000177242115,43.0,-1.0,1.0
1059,12.744140625,-0.43272000177242115,42.5,-1.0,2.0
1060,11.89453125,-0.43272000177242115,42.0,0.0,3.0
1064,11.89453125,-0.6490800026586317,43.0,-1.0,1.0
1066,12.744140625,-0.6490800026586317,43.5,-1.0,2.0
1067,11.89453125,-0.6490800026586317,41.0,0.0,3.0
1068,12.234375,-0.7356240030131159,41.0,0.0,3.0
1072,11.89453125,-0.757260003101737,40.0,-1.0,1.0
1073,11.89453125,-0.8654400035448423,39.0,0.0,3.0
1074,11.89453125,-0.8654400035448423,38.0,0.0,3.0
1078,11.89453125,-0.8654400035448423,36.5,-1.0,2.0
1080,11.044921875,-0.6490800026586317,38.0,0.0,3.0
1081,11.89453125,-0.6490800026586317,34.5,-1.0,2.0
1082,11.89453125,-0.6490800026586317,34.5,-1.0,2.0
1085,11.044921875,-0.6490800026586317,36.0,0.0,3.0
1095,11.044921875,-0.6490800026586317,29.0,0.0,3.0
1096,11.89453125,-0.5949900024370791,27.0,0.0,3.0
1097,11.044921875,-0.6490800026586317,28.0,0.0,3.0
1099,11.044921875,-0.6490800026586317,26.0,0.0,3.0
1100,10.53515625,-0.5192640021269054,25.5,0.0,4.0
1101,10.438058035714286,-0.5254457164379399,25.5,0.0,4.0
1102,11.5546875,-0.5192640021269054,25.5,-1.0,2.0
