block,range_m,radial_velocity_mps,angle_deg
0,1.4564732142857142,0.4949465299364779,58.0
1,1.69921875,6.1679056923619804e-18,52.0
2,2.427455357142857,0.12373663248411948,49.0
5,1.69921875,6.1679056923619804e-18,50.0
7,2.548828125,0.2165391068472091,-59.0
8,2.548828125,0.0,44.0
8,1.69921875,2.1653910684720907,44.0
9,2.0390625,2.338622353949858,52.0
10,2.548828125,2.3819301753193,1.0
11,2.1847098214285716,2.598469282166509,1.0
12,0.0,-3.0315474958609276,0.0
12,2.780539772727273,2.795323015663972,1.0
13,3.3984375,2.8150083890137183,-1.0
14,3.3984375,3.0315474958609276,4.0
15,0.0,-3.0315474958609276,0.0
15,3.3984375,3.0315474958609276,5.0
16,0.0,-3.0315474958609276,-90.0
16,3.3984375,3.118163138599811,7.0
17,3.73828125,3.248086602708137,7.0
18,0.0,-3.0315474958609276,0.0
18,3.5529119318181817,3.1890304826588975,7.0
19,3.73828125,3.248086602708137,8.0
20,4.248046875,3.2913944240775783,9.0
21,4.248046875,3.2913944240775783,9.0
22,4.7578125,3.6811648164025543,9.0
23,4.943181818181818,3.6221086963533153,9.0
24,4.943181818181818,3.740220936451793,9.0
25,5.09765625,3.81108828051088,10.0
26,5.09765625,-3.4646257095553454,11.0
26,5.09765625,3.81108828051088,11.0
27,5.252130681818182,4.055186910047734,12.0
28,5.852864583333333,3.9939435262929672,13.0
29,6.1789772727272725,4.133928403446719,13.0
30,6.45703125,4.114243030096973,13.0
31,6.642400568181818,4.173299150146212,12.0
32,6.796875,4.114243030096972,11.0
33,6.513671875,4.402961839226585,11.0
34,7.646484375,4.3307821369441815,10.0
36,8.15625,4.54732124379139,14.0
37,8.49609375,4.677244707899716,14.0
38,8.49609375,4.8875969831227195,14.0
39,8.49609375,4.9803994574858095,14.0
40,8.70849609375,4.817995127350402,15.0
41,8.981584821428571,5.196938564333018,16.0
42,10.006510416666666,5.341297968897824,15.0
43,9.85546875,5.413477671180227,16.0
44,10.349786931818182,5.354421551130989,17.0
45,10.40771484375,5.575882001315635,16.0
46,10.680803571428571,5.630016778027437,18.0
47,10.680803571428571,5.630016778027437,17.0
48,1.69921875,-0.4330782136944182,46.0
48,11.044921875,5.846555884874646,18.0
50,11.89453125,5.846555884874646,18.0
51,12.10693359375,6.0089602150100525,18.0
53,12.744140625,5.846555884874646,19.0
54,13.59375,5.846555884874646,18.0
55,14.16015625,5.774376182592243,18.0
56,13.59375,5.630016778027437,18.0
57,2.548828125,0.4330782136944182,46.0
60,15.29296875,4.9803994574858095,19.0
64,16.142578125,4.547321243791391,19.0
67,16.142578125,3.8977039232497637,12.0
68,16.9921875,3.4646257095553454,16.0
69,16.9921875,3.356356156131741,16.0
70,17.841796875,3.0315474958609276,14.0
71,16.9921875,2.5984692821665094,14.0
72,17.841796875,2.3819301753193,13.0
73,15.29296875,3.0315474958609276,33.0
74,17.841796875,1.9488519616248816,11.0
75,17.841796875,1.5157737479304638,12.0
76,17.841796875,1.5157737479304638,11.0
77,18.3515625,1.4724659265610218,10.0
78,18.3515625,1.1260033556054871,9.0
79,18.69140625,1.0826955342360456,9.0
80,18.3515625,1.0393877128666038,8.0
82,18.47900390625,0.48721299040622046,6.0
83,17.841796875,0.0,7.0
88,18.47900390625,-0.054134776711802265,3.0
89,18.3515625,-0.2598469282166509,3.0
90,18.125,-0.5774376182592242,2.0
91,17.55859375,-0.7217970228240302,3.0
94,17.841796875,-0.8661564273888364,1.0
95,17.841796875,-0.8661564273888364,-3.0
96,2.0390625,0.2598469282166509,-55.0
97,17.477678571428573,-0.8661564273888364,-5.0
100,17.55859375,-0.2405990076080101,-9.0
103,17.841796875,0.2165391068472091,-13.0
106,17.841796875,1.5157737479304638,-14.0
111,17.841796875,3.0315474958609276,-19.0
115,19.541015625,3.4646257095553454,-21.0
118,1.69921875,-0.8661564273888364,55.0
119,0.6796875,0.08661564273888364,-54.0
122,21.5234375,3.6089851141201517,-23.0
135,23.22265625,2.021031663907285,-21.0
136,22.65625,1.8766722593424785,-19.0
137,23.7890625,1.7323128547776727,-19.0
138,22.939453125,1.5157737479304638,-17.0
150,0.6796875,0.08661564273888364,-59.0
151,23.22265625,-1.5879534502128667,-12.0
151,1.2137276785714286,0.0,50.0
152,22.939453125,-1.5157737479304636,-11.0
153,22.08984375,-1.5157737479304636,-10.0
154,22.08984375,-1.2992346410832547,-10.0
157,22.939453125,-1.2992346410832547,-7.0
158,22.939453125,-1.0826955342360456,-7.0
159,22.08984375,-1.175498008599135,-7.0
160,22.08984375,-0.8661564273888364,-6.0
161,22.08984375,-0.974425980812441,-6.0
162,22.08984375,-0.8661564273888365,-4.0
163,22.08984375,-0.8661564273888364,-4.0
164,22.08984375,-0.7424197949047169,-3.0
165,21.75,-0.6929251419110691,-3.0
166,22.08984375,-0.5568148461785377,-3.0
167,21.87744140625,-0.3789434369826159,-2.0
168,21.87744140625,-0.054134776711802265,-2.0
169,21.806640625,0.07217970228240303,-1.0
170,6.796875,-10.393877128666038,44.0
172,5.09765625,13.425424624526965,50.0
176,22.08984375,0.4330782136944182,2.0
177,22.08984375,0.6496173205416272,4.0
184,22.939453125,2.3819301753193,6.0
185,22.65625,2.742828686731315,6.0
186,22.939453125,3.0315474958609276,8.0
187,22.939453125,3.0315474958609276,8.0
191,24.638671875,3.4646257095553454,11.0
195,24.638671875,3.4646257095553454,11.0
197,25.48828125,3.4646257095553454,11.0
198,25.48828125,3.4646257095553454,15.0
199,25.48828125,3.5728952629789497,13.0
200,25.48828125,3.6811648164025548,13.0
201,26.337890625,3.6811648164025543,12.0
202,26.0546875,3.753344518684957,12.0
208,27.1875,3.4646257095553454,16.0
216,28.88671875,3.6811648164025543,25.0
216,3.3984375,11.260033556054873,45.0
217,29.453125,3.753344518684957,15.0
218,29.736328125,3.8977039232497637,15.0
219,29.736328125,3.8977039232497637,29.0
